"","...1","review","paper_id","duration","rv_year","loc_multi_results","group_level1","group_level2","group_level3","rv","rv_depth","sample_depth","rv_units","stat_test","stat_type","trt1","trt1_int","trt1_int2","trt1_value","trt2","trt2_int","trt2_int2","trt2_value","significance","trt1_name","trt1_details","trt2_name","trt2_details","trt2_group1","trt2_group2","crop_type","system_group1","system_group2","mgmt_intention","norm_interp2","norm_interp3","group_level1_alt","group_level2_alt","norm_interp2_alt","norm_interp3_alt","per_change","grouping","normative_effect"
"1217",1217,"Continuous cover",4021,"2009-1","1","1","Pests","Invertebrate Pests","Thrips","mean # of megalurothrips sjostedti captured per plant (all species) at flowering, long rains","NA","NA","# Megaslurothrips sjoestedti/plant","ANOVA","mean",1,"NA","NA",24.98428,4,"NA","NA",29.49686,"NA","intercrop","bean;sunflower","intercrop","bean;maize;sunflower",3,"Legume & Non-Legume","Vegetable;Cereal","Uniform","Rainfed","Pest Management","Negative","assumed societal harm",NA,"NA","NA","NA",18.06,"Pests | Invertebrate Pests | Thrips","Negative | assumed societal harm"
"1218",1218,"Continuous cover",4021,"2009-1","1","1","Pests","Invertebrate Pests","Thrips","mean # of megalurothrips sjostedti captured per plant (all species) at flowering, long rains","NA","NA","# Megaslurothrips sjoestedti/plant","ANOVA","mean",1,"NA","NA",24.98428,5,"NA","NA",18.05031,"NA","intercrop","bean;sunflower","intercrop","bean;potato;sunflower",3,"Legume & Non-Legume","Vegetable","Uniform","Rainfed","Pest Management","Negative","assumed societal harm",NA,"NA","NA","NA",-27.75,"Pests | Invertebrate Pests | Thrips","Negative | assumed societal harm"
"1219",1219,"Continuous cover",4021,"2009-1","1","1","Pests","Invertebrate Pests","Thrips","mean # of megalurothrips sjostedti captured per plant (all species) at flowering, long rains","NA","NA","# Megaslurothrips sjoestedti/plant","ANOVA","mean",2,"NA","NA",24.43396,4,"NA","NA",29.49686,"NA","intercrop","bean;maize","intercrop","bean;maize;sunflower",3,"Legume & Non-Legume","Vegetable;Cereal","Uniform","Rainfed","Pest Management","Negative","assumed societal harm",NA,"NA","NA","NA",20.72,"Pests | Invertebrate Pests | Thrips","Negative | assumed societal harm"
"1220",1220,"Continuous cover",4021,"2009-1","1","1","Pests","Invertebrate Pests","Thrips","mean # of megalurothrips sjostedti captured per plant (all species) at flowering, long rains","NA","NA","# Megaslurothrips sjoestedti/plant","ANOVA","mean",3,"NA","NA",19.48113,5,"NA","NA",18.05031,"NA","intercrop","bean;potato","intercrop","bean;potato;sunflower",3,"Legume & Non-Legume","Vegetable","Uniform","Rainfed","Pest Management","Negative","assumed societal harm",NA,"NA","NA","NA",-7.34,"Pests | Invertebrate Pests | Thrips","Negative | assumed societal harm"
"1221",1221,"Continuous cover",4021,"2009-1","1","1","Pests","Invertebrate Pests","Thrips","mean # of megalurothrips sjostedti captured per plant (all species) at one week before flowering, short rains","NA","NA","# Megaslurothrips sjoestedti/plant","ANOVA","mean",0,"NA","NA",3.840125,1,"NA","NA",4.278997,"NA","monocrop","bean","intercrop","bean;sunflower",2,"Legume & Non-Legume","Vegetable","Uniform","Rainfed","Pest Management","Negative","assumed societal harm",NA,"NA","NA","NA",11.43,"Pests | Invertebrate Pests | Thrips","Negative | assumed societal harm"
"1222",1222,"Continuous cover",4021,"2009-1","1","1","Pests","Invertebrate Pests","Thrips","mean # of megalurothrips sjostedti captured per plant (all species) at one week before flowering, short rains","NA","NA","# Megaslurothrips sjoestedti/plant","ANOVA","mean",0,"NA","NA",3.840125,2,"NA","NA",3.0721,"NA","monocrop","bean","intercrop","bean;maize",2,"Legume & Non-Legume","Vegetable;Cereal","Uniform","Rainfed","Pest Management","Negative","assumed societal harm",NA,"NA","NA","NA",-20,"Pests | Invertebrate Pests | Thrips","Negative | assumed societal harm"
"1223",1223,"Continuous cover",4021,"2009-1","1","1","Pests","Invertebrate Pests","Thrips","mean # of megalurothrips sjostedti captured per plant (all species) at one week before flowering, short rains","NA","NA","# Megaslurothrips sjoestedti/plant","ANOVA","mean",0,"NA","NA",3.840125,3,"NA","NA",3.840125,"NA","monocrop","bean","intercrop","bean;potato",2,"Legume & Non-Legume","Vegetable","Uniform","Rainfed","Pest Management","Negative","assumed societal harm",NA,"NA","NA","NA",0,"Pests | Invertebrate Pests | Thrips","Negative | assumed societal harm"
"1224",1224,"Continuous cover",4021,"2009-1","1","1","Pests","Invertebrate Pests","Thrips","mean # of megalurothrips sjostedti captured per plant (all species) at one week before flowering, short rains","NA","NA","# Megaslurothrips sjoestedti/plant","ANOVA","mean",0,"NA","NA",3.840125,4,"NA","NA",8.996865,"NA","monocrop","bean","intercrop","bean;maize;sunflower",2,"Legume & Non-Legume","Vegetable;Cereal","Uniform","Rainfed","Pest Management","Negative","assumed societal harm",NA,"NA","NA","NA",134.29,"Pests | Invertebrate Pests | Thrips","Negative | assumed societal harm"
"1225",1225,"Continuous cover",4021,"2009-1","1","1","Pests","Invertebrate Pests","Thrips","mean # of megalurothrips sjostedti captured per plant (all species) at one week before flowering, short rains","NA","NA","# Megaslurothrips sjoestedti/plant","ANOVA","mean",0,"NA","NA",3.840125,5,"NA","NA",0.438871,"NA","monocrop","bean","intercrop","bean;potato;sunflower",2,"Legume & Non-Legume","Vegetable","Uniform","Rainfed","Pest Management","Negative","assumed societal harm",NA,"NA","NA","NA",-88.57,"Pests | Invertebrate Pests | Thrips","Negative | assumed societal harm"
"1226",1226,"Continuous cover",4021,"2009-1","1","1","Pests","Invertebrate Pests","Thrips","mean # of megalurothrips sjostedti captured per plant (all species) at one week before flowering, short rains","NA","NA","# Megaslurothrips sjoestedti/plant","ANOVA","mean",1,"NA","NA",4.278997,4,"NA","NA",8.996865,"NA","intercrop","bean;sunflower","intercrop","bean;maize;sunflower",3,"Legume & Non-Legume","Vegetable;Cereal","Uniform","Rainfed","Pest Management","Negative","assumed societal harm",NA,"NA","NA","NA",110.26,"Pests | Invertebrate Pests | Thrips","Negative | assumed societal harm"
"1227",1227,"Continuous cover",4021,"2009-1","1","1","Pests","Invertebrate Pests","Thrips","mean # of megalurothrips sjostedti captured per plant (all species) at one week before flowering, short rains","NA","NA","# Megaslurothrips sjoestedti/plant","ANOVA","mean",1,"NA","NA",4.278997,5,"NA","NA",0.438871,"NA","intercrop","bean;sunflower","intercrop","bean;potato;sunflower",3,"Legume & Non-Legume","Vegetable","Uniform","Rainfed","Pest Management","Negative","assumed societal harm",NA,"NA","NA","NA",-89.74,"Pests | Invertebrate Pests | Thrips","Negative | assumed societal harm"
"1228",1228,"Continuous cover",4021,"2009-1","1","1","Pests","Invertebrate Pests","Thrips","mean # of megalurothrips sjostedti captured per plant (all species) at one week before flowering, short rains","NA","NA","# Megaslurothrips sjoestedti/plant","ANOVA","mean",2,"NA","NA",3.0721,4,"NA","NA",8.996865,"NA","intercrop","bean;maize","intercrop","bean;maize;sunflower",3,"Legume & Non-Legume","Vegetable;Cereal","Uniform","Rainfed","Pest Management","Negative","assumed societal harm",NA,"NA","NA","NA",192.86,"Pests | Invertebrate Pests | Thrips","Negative | assumed societal harm"
"1229",1229,"Continuous cover",4021,"2009-1","1","1","Pests","Invertebrate Pests","Thrips","mean # of megalurothrips sjostedti captured per plant (all species) at one week before flowering, short rains","NA","NA","# Megaslurothrips sjoestedti/plant","ANOVA","mean",3,"NA","NA",3.840125,5,"NA","NA",0.438871,"NA","intercrop","bean;potato","intercrop","bean;potato;sunflower",3,"Legume & Non-Legume","Vegetable","Uniform","Rainfed","Pest Management","Negative","assumed societal harm",NA,"NA","NA","NA",-88.57,"Pests | Invertebrate Pests | Thrips","Negative | assumed societal harm"
"1230",1230,"Continuous cover",4021,"2009-1","1","1","Pests","Invertebrate Pests","Thrips","mean # of megalurothrips sjostedti captured per plant (all species) at flowering, short rains","NA","NA","# Megaslurothrips sjoestedti/plant","ANOVA","mean",0,"NA","NA",15.03135,1,"NA","NA",11.63009,"NA","monocrop","bean","intercrop","bean;sunflower",2,"Legume & Non-Legume","Vegetable","Uniform","Rainfed","Pest Management","Negative","assumed societal harm",NA,"NA","NA","NA",-22.63,"Pests | Invertebrate Pests | Thrips","Negative | assumed societal harm"
"1231",1231,"Continuous cover",4021,"2009-1","1","1","Pests","Invertebrate Pests","Thrips","mean # of megalurothrips sjostedti captured per plant (all species) at flowering, short rains","NA","NA","# Megaslurothrips sjoestedti/plant","ANOVA","mean",0,"NA","NA",15.03135,2,"NA","NA",5.595611,"NA","monocrop","bean","intercrop","bean;maize",2,"Legume & Non-Legume","Vegetable;Cereal","Uniform","Rainfed","Pest Management","Negative","assumed societal harm",NA,"NA","NA","NA",-62.77,"Pests | Invertebrate Pests | Thrips","Negative | assumed societal harm"
"1232",1232,"Continuous cover",4021,"2009-1","1","1","Pests","Invertebrate Pests","Thrips","mean # of megalurothrips sjostedti captured per plant (all species) at flowering, short rains","NA","NA","# Megaslurothrips sjoestedti/plant","ANOVA","mean",0,"NA","NA",15.03135,3,"NA","NA",9.76489,"NA","monocrop","bean","intercrop","bean;potato",2,"Legume & Non-Legume","Vegetable","Uniform","Rainfed","Pest Management","Negative","assumed societal harm",NA,"NA","NA","NA",-35.04,"Pests | Invertebrate Pests | Thrips","Negative | assumed societal harm"
"1233",1233,"Continuous cover",4021,"2009-1","1","1","Pests","Invertebrate Pests","Thrips","mean # of megalurothrips sjostedti captured per plant (all species) at flowering, short rains","NA","NA","# Megaslurothrips sjoestedti/plant","ANOVA","mean",0,"NA","NA",15.03135,4,"NA","NA",7.021944,"NA","monocrop","bean","intercrop","bean;maize;sunflower",2,"Legume & Non-Legume","Vegetable;Cereal","Uniform","Rainfed","Pest Management","Negative","assumed societal harm",NA,"NA","NA","NA",-53.28,"Pests | Invertebrate Pests | Thrips","Negative | assumed societal harm"
"1234",1234,"Continuous cover",4021,"2009-1","1","1","Pests","Invertebrate Pests","Thrips","mean # of megalurothrips sjostedti captured per plant (all species) at flowering, short rains","NA","NA","# Megaslurothrips sjoestedti/plant","ANOVA","mean",0,"NA","NA",15.03135,5,"NA","NA",14.70219,"NA","monocrop","bean","intercrop","bean;potato;sunflower",2,"Legume & Non-Legume","Vegetable","Uniform","Rainfed","Pest Management","Negative","assumed societal harm",NA,"NA","NA","NA",-2.19,"Pests | Invertebrate Pests | Thrips","Negative | assumed societal harm"
"1235",1235,"Continuous cover",4021,"2009-1","1","1","Pests","Invertebrate Pests","Thrips","mean # of megalurothrips sjostedti captured per plant (all species) at flowering, short rains","NA","NA","# Megaslurothrips sjoestedti/plant","ANOVA","mean",1,"NA","NA",11.63009,4,"NA","NA",7.021944,"NA","intercrop","bean;sunflower","intercrop","bean;maize;sunflower",3,"Legume & Non-Legume","Vegetable;Cereal","Uniform","Rainfed","Pest Management","Negative","assumed societal harm",NA,"NA","NA","NA",-39.62,"Pests | Invertebrate Pests | Thrips","Negative | assumed societal harm"
"1236",1236,"Continuous cover",4021,"2009-1","1","1","Pests","Invertebrate Pests","Thrips","mean # of megalurothrips sjostedti captured per plant (all species) at flowering, short rains","NA","NA","# Megaslurothrips sjoestedti/plant","ANOVA","mean",1,"NA","NA",11.63009,5,"NA","NA",14.70219,"NA","intercrop","bean;sunflower","intercrop","bean;potato;sunflower",3,"Legume & Non-Legume","Vegetable","Uniform","Rainfed","Pest Management","Negative","assumed societal harm",NA,"NA","NA","NA",26.42,"Pests | Invertebrate Pests | Thrips","Negative | assumed societal harm"
"1237",1237,"Continuous cover",4021,"2009-1","1","1","Pests","Invertebrate Pests","Thrips","mean # of megalurothrips sjostedti captured per plant (all species) at flowering, short rains","NA","NA","# Megaslurothrips sjoestedti/plant","ANOVA","mean",2,"NA","NA",5.595611,4,"NA","NA",7.021944,"NA","intercrop","bean;maize","intercrop","bean;maize;sunflower",3,"Legume & Non-Legume","Vegetable;Cereal","Uniform","Rainfed","Pest Management","Negative","assumed societal harm",NA,"NA","NA","NA",25.49,"Pests | Invertebrate Pests | Thrips","Negative | assumed societal harm"
"1238",1238,"Continuous cover",4021,"2009-1","1","1","Pests","Invertebrate Pests","Thrips","mean # of megalurothrips sjostedti captured per plant (all species) at flowering, short rains","NA","NA","# Megaslurothrips sjoestedti/plant","ANOVA","mean",3,"NA","NA",9.76489,5,"NA","NA",14.70219,"NA","intercrop","bean;potato","intercrop","bean;potato;sunflower",3,"Legume & Non-Legume","Vegetable","Uniform","Rainfed","Pest Management","Negative","assumed societal harm",NA,"NA","NA","NA",50.56,"Pests | Invertebrate Pests | Thrips","Negative | assumed societal harm"
"1239",1239,"Continuous cover",4021,"2009-1","1","1","Pests","Invertebrate Pests","Thrips","mean # of Frankliniella schultzei captured per plant (all species) at one week before flowering, long rains","NA","NA","# Frankliniella schultzei/plant","ANOVA","mean",0,"NA","NA",13.66667,1,"NA","NA",14.83333,"NA","monocrop","bean","intercrop","bean;sunflower",2,"Legume & Non-Legume","Vegetable","Uniform","Rainfed","Pest Management","Negative","assumed societal harm",NA,"NA","NA","NA",8.54,"Pests | Invertebrate Pests | Thrips","Negative | assumed societal harm"
"1240",1240,"Continuous cover",4021,"2009-1","1","1","Pests","Invertebrate Pests","Thrips","mean # of Frankliniella schultzei captured per plant (all species) at one week before flowering, long rains","NA","NA","# Frankliniella schultzei/plant","ANOVA","mean",0,"NA","NA",13.66667,2,"NA","NA",16.83333,"NA","monocrop","bean","intercrop","bean;maize",2,"Legume & Non-Legume","Vegetable;Cereal","Uniform","Rainfed","Pest Management","Negative","assumed societal harm",NA,"NA","NA","NA",23.17,"Pests | Invertebrate Pests | Thrips","Negative | assumed societal harm"
"1241",1241,"Continuous cover",4021,"2009-1","1","1","Pests","Invertebrate Pests","Thrips","mean # of Frankliniella schultzei captured per plant (all species) at one week before flowering, long rains","NA","NA","# Frankliniella schultzei/plant","ANOVA","mean",0,"NA","NA",13.66667,3,"NA","NA",30.5,"NA","monocrop","bean","intercrop","bean;potato",2,"Legume & Non-Legume","Vegetable","Uniform","Rainfed","Pest Management","Negative","assumed societal harm",NA,"NA","NA","NA",123.17,"Pests | Invertebrate Pests | Thrips","Negative | assumed societal harm"
"1242",1242,"Continuous cover",4021,"2009-1","1","1","Pests","Invertebrate Pests","Thrips","mean # of Frankliniella schultzei captured per plant (all species) at one week before flowering, long rains","NA","NA","# Frankliniella schultzei/plant","ANOVA","mean",0,"NA","NA",13.66667,4,"NA","NA",13,"NA","monocrop","bean","intercrop","bean;maize;sunflower",2,"Legume & Non-Legume","Vegetable;Cereal","Uniform","Rainfed","Pest Management","Negative","assumed societal harm",NA,"NA","NA","NA",-4.88,"Pests | Invertebrate Pests | Thrips","Negative | assumed societal harm"
"1243",1243,"Continuous cover",4021,"2009-1","1","1","Pests","Invertebrate Pests","Thrips","mean # of Frankliniella schultzei captured per plant (all species) at one week before flowering, long rains","NA","NA","# Frankliniella schultzei/plant","ANOVA","mean",0,"NA","NA",13.66667,5,"NA","NA",18.66667,"NA","monocrop","bean","intercrop","bean;potato;sunflower",2,"Legume & Non-Legume","Vegetable","Uniform","Rainfed","Pest Management","Negative","assumed societal harm",NA,"NA","NA","NA",36.59,"Pests | Invertebrate Pests | Thrips","Negative | assumed societal harm"
"1244",1244,"Continuous cover",4021,"2009-1","1","1","Pests","Invertebrate Pests","Thrips","mean # of Frankliniella schultzei captured per plant (all species) at one week before flowering, long rains","NA","NA","# Frankliniella schultzei/plant","ANOVA","mean",1,"NA","NA",14.83333,4,"NA","NA",13,"NA","intercrop","bean;sunflower","intercrop","bean;maize;sunflower",3,"Legume & Non-Legume","Vegetable;Cereal","Uniform","Rainfed","Pest Management","Negative","assumed societal harm",NA,"NA","NA","NA",-12.36,"Pests | Invertebrate Pests | Thrips","Negative | assumed societal harm"
"1245",1245,"Continuous cover",4021,"2009-1","1","1","Pests","Invertebrate Pests","Thrips","mean # of Frankliniella schultzei captured per plant (all species) at one week before flowering, long rains","NA","NA","# Frankliniella schultzei/plant","ANOVA","mean",1,"NA","NA",14.83333,5,"NA","NA",18.66667,"NA","intercrop","bean;sunflower","intercrop","bean;potato;sunflower",3,"Legume & Non-Legume","Vegetable","Uniform","Rainfed","Pest Management","Negative","assumed societal harm",NA,"NA","NA","NA",25.84,"Pests | Invertebrate Pests | Thrips","Negative | assumed societal harm"
"1246",1246,"Continuous cover",4021,"2009-1","1","1","Pests","Invertebrate Pests","Thrips","mean # of Frankliniella schultzei captured per plant (all species) at one week before flowering, long rains","NA","NA","# Frankliniella schultzei/plant","ANOVA","mean",2,"NA","NA",16.83333,4,"NA","NA",13,"NA","intercrop","bean;maize","intercrop","bean;maize;sunflower",3,"Legume & Non-Legume","Vegetable;Cereal","Uniform","Rainfed","Pest Management","Negative","assumed societal harm",NA,"NA","NA","NA",-22.77,"Pests | Invertebrate Pests | Thrips","Negative | assumed societal harm"
"1247",1247,"Continuous cover",4021,"2009-1","1","1","Pests","Invertebrate Pests","Thrips","mean # of Frankliniella schultzei captured per plant (all species) at one week before flowering, long rains","NA","NA","# Frankliniella schultzei/plant","ANOVA","mean",3,"NA","NA",30.5,5,"NA","NA",18.66667,"NA","intercrop","bean;potato","intercrop","bean;potato;sunflower",3,"Legume & Non-Legume","Vegetable","Uniform","Rainfed","Pest Management","Negative","assumed societal harm",NA,"NA","NA","NA",-38.8,"Pests | Invertebrate Pests | Thrips","Negative | assumed societal harm"
"1248",1248,"Continuous cover",4021,"2009-1","1","1","Pests","Invertebrate Pests","Thrips","mean # of Frankliniella schultzei captured per plant (all species) at flowering, long rains","NA","NA","# Frankliniella schultzei/plant","ANOVA","mean",0,"NA","NA",12.33333,1,"NA","NA",14,"NA","monocrop","bean","intercrop","bean;sunflower",2,"Legume & Non-Legume","Vegetable","Uniform","Rainfed","Pest Management","Negative","assumed societal harm",NA,"NA","NA","NA",13.51,"Pests | Invertebrate Pests | Thrips","Negative | assumed societal harm"
"1249",1249,"Continuous cover",4021,"2009-1","1","1","Pests","Invertebrate Pests","Thrips","mean # of Frankliniella schultzei captured per plant (all species) at flowering, long rains","NA","NA","# Frankliniella schultzei/plant","ANOVA","mean",0,"NA","NA",12.33333,2,"NA","NA",12.16667,"NA","monocrop","bean","intercrop","bean;maize",2,"Legume & Non-Legume","Vegetable;Cereal","Uniform","Rainfed","Pest Management","Negative","assumed societal harm",NA,"NA","NA","NA",-1.35,"Pests | Invertebrate Pests | Thrips","Negative | assumed societal harm"
"1250",1250,"Continuous cover",4021,"2009-1","1","1","Pests","Invertebrate Pests","Thrips","mean # of Frankliniella schultzei captured per plant (all species) at flowering, long rains","NA","NA","# Frankliniella schultzei/plant","ANOVA","mean",0,"NA","NA",12.33333,3,"NA","NA",69,"NA","monocrop","bean","intercrop","bean;potato",2,"Legume & Non-Legume","Vegetable","Uniform","Rainfed","Pest Management","Negative","assumed societal harm",NA,"NA","NA","NA",459.46,"Pests | Invertebrate Pests | Thrips","Negative | assumed societal harm"
"1251",1251,"Continuous cover",4021,"2009-1","1","1","Pests","Invertebrate Pests","Thrips","mean # of Frankliniella schultzei captured per plant (all species) at flowering, long rains","NA","NA","# Frankliniella schultzei/plant","ANOVA","mean",0,"NA","NA",12.33333,4,"NA","NA",10,"NA","monocrop","bean","intercrop","bean;maize;sunflower",2,"Legume & Non-Legume","Vegetable;Cereal","Uniform","Rainfed","Pest Management","Negative","assumed societal harm",NA,"NA","NA","NA",-18.92,"Pests | Invertebrate Pests | Thrips","Negative | assumed societal harm"
"1252",1252,"Continuous cover",4021,"2009-1","1","1","Pests","Invertebrate Pests","Thrips","mean # of Frankliniella schultzei captured per plant (all species) at flowering, long rains","NA","NA","# Frankliniella schultzei/plant","ANOVA","mean",0,"NA","NA",12.33333,5,"NA","NA",47.16667,"NA","monocrop","bean","intercrop","bean;potato;sunflower",2,"Legume & Non-Legume","Vegetable","Uniform","Rainfed","Pest Management","Negative","assumed societal harm",NA,"NA","NA","NA",282.43,"Pests | Invertebrate Pests | Thrips","Negative | assumed societal harm"
"1253",1253,"Continuous cover",4021,"2009-1","1","1","Pests","Invertebrate Pests","Thrips","mean # of Frankliniella schultzei captured per plant (all species) at flowering, long rains","NA","NA","# Frankliniella schultzei/plant","ANOVA","mean",1,"NA","NA",14,4,"NA","NA",10,"NA","intercrop","bean;sunflower","intercrop","bean;maize;sunflower",3,"Legume & Non-Legume","Vegetable;Cereal","Uniform","Rainfed","Pest Management","Negative","assumed societal harm",NA,"NA","NA","NA",-28.57,"Pests | Invertebrate Pests | Thrips","Negative | assumed societal harm"
"1254",1254,"Continuous cover",4021,"2009-1","1","1","Pests","Invertebrate Pests","Thrips","mean # of Frankliniella schultzei captured per plant (all species) at flowering, long rains","NA","NA","# Frankliniella schultzei/plant","ANOVA","mean",1,"NA","NA",14,5,"NA","NA",47.16667,"NA","intercrop","bean;sunflower","intercrop","bean;potato;sunflower",3,"Legume & Non-Legume","Vegetable","Uniform","Rainfed","Pest Management","Negative","assumed societal harm",NA,"NA","NA","NA",236.9,"Pests | Invertebrate Pests | Thrips","Negative | assumed societal harm"
"1255",1255,"Continuous cover",4021,"2009-1","1","1","Pests","Invertebrate Pests","Thrips","mean # of Frankliniella schultzei captured per plant (all species) at flowering, long rains","NA","NA","# Frankliniella schultzei/plant","ANOVA","mean",2,"NA","NA",12.16667,4,"NA","NA",10,"NA","intercrop","bean;maize","intercrop","bean;maize;sunflower",3,"Legume & Non-Legume","Vegetable;Cereal","Uniform","Rainfed","Pest Management","Negative","assumed societal harm",NA,"NA","NA","NA",-17.81,"Pests | Invertebrate Pests | Thrips","Negative | assumed societal harm"
"1256",1256,"Continuous cover",4021,"2009-1","1","1","Pests","Invertebrate Pests","Thrips","mean # of Frankliniella schultzei captured per plant (all species) at flowering, long rains","NA","NA","# Frankliniella schultzei/plant","ANOVA","mean",3,"NA","NA",69,5,"NA","NA",47.16667,"NA","intercrop","bean;potato","intercrop","bean;potato;sunflower",3,"Legume & Non-Legume","Vegetable","Uniform","Rainfed","Pest Management","Negative","assumed societal harm",NA,"NA","NA","NA",-31.64,"Pests | Invertebrate Pests | Thrips","Negative | assumed societal harm"
"1257",1257,"Continuous cover",4021,"2009-1","1","1","Pests","Invertebrate Pests","Thrips","mean # of Frankliniella schultzei captured per plant (all species) at one week before flowering, short rains","NA","NA","# Frankliniella schultzei/plant","ANOVA","mean",0,"NA","NA",4,1,"NA","NA",1.384615,"NA","monocrop","bean","intercrop","bean;sunflower",2,"Legume & Non-Legume","Vegetable","Uniform","Rainfed","Pest Management","Negative","assumed societal harm",NA,"NA","NA","NA",-65.38,"Pests | Invertebrate Pests | Thrips","Negative | assumed societal harm"
"1258",1258,"Continuous cover",4021,"2009-1","1","1","Pests","Invertebrate Pests","Thrips","mean # of Frankliniella schultzei captured per plant (all species) at one week before flowering, short rains","NA","NA","# Frankliniella schultzei/plant","ANOVA","mean",0,"NA","NA",4,2,"NA","NA",1.692308,"NA","monocrop","bean","intercrop","bean;maize",2,"Legume & Non-Legume","Vegetable;Cereal","Uniform","Rainfed","Pest Management","Negative","assumed societal harm",NA,"NA","NA","NA",-57.69,"Pests | Invertebrate Pests | Thrips","Negative | assumed societal harm"
"1259",1259,"Continuous cover",4021,"2009-1","1","1","Pests","Invertebrate Pests","Thrips","mean # of Frankliniella schultzei captured per plant (all species) at one week before flowering, short rains","NA","NA","# Frankliniella schultzei/plant","ANOVA","mean",0,"NA","NA",4,3,"NA","NA",13.38462,"NA","monocrop","bean","intercrop","bean;potato",2,"Legume & Non-Legume","Vegetable","Uniform","Rainfed","Pest Management","Negative","assumed societal harm",NA,"NA","NA","NA",234.62,"Pests | Invertebrate Pests | Thrips","Negative | assumed societal harm"
"1260",1260,"Continuous cover",4021,"2009-1","1","1","Pests","Invertebrate Pests","Thrips","mean # of Frankliniella schultzei captured per plant (all species) at one week before flowering, short rains","NA","NA","# Frankliniella schultzei/plant","ANOVA","mean",0,"NA","NA",4,4,"NA","NA",1.538462,"NA","monocrop","bean","intercrop","bean;maize;sunflower",2,"Legume & Non-Legume","Vegetable;Cereal","Uniform","Rainfed","Pest Management","Negative","assumed societal harm",NA,"NA","NA","NA",-61.54,"Pests | Invertebrate Pests | Thrips","Negative | assumed societal harm"
"1261",1261,"Continuous cover",4021,"2009-1","1","1","Pests","Invertebrate Pests","Thrips","mean # of Frankliniella schultzei captured per plant (all species) at one week before flowering, short rains","NA","NA","# Frankliniella schultzei/plant","ANOVA","mean",0,"NA","NA",4,5,"NA","NA",11.23077,"NA","monocrop","bean","intercrop","bean;potato;sunflower",2,"Legume & Non-Legume","Vegetable","Uniform","Rainfed","Pest Management","Negative","assumed societal harm",NA,"NA","NA","NA",180.77,"Pests | Invertebrate Pests | Thrips","Negative | assumed societal harm"
"1262",1262,"Continuous cover",4021,"2009-1","1","1","Pests","Invertebrate Pests","Thrips","mean # of Frankliniella schultzei captured per plant (all species) at one week before flowering, short rains","NA","NA","# Frankliniella schultzei/plant","ANOVA","mean",1,"NA","NA",1.384615,4,"NA","NA",1.538462,"NA","intercrop","bean;sunflower","intercrop","bean;maize;sunflower",3,"Legume & Non-Legume","Vegetable;Cereal","Uniform","Rainfed","Pest Management","Negative","assumed societal harm",NA,"NA","NA","NA",11.11,"Pests | Invertebrate Pests | Thrips","Negative | assumed societal harm"
"1263",1263,"Continuous cover",4021,"2009-1","1","1","Pests","Invertebrate Pests","Thrips","mean # of Frankliniella schultzei captured per plant (all species) at one week before flowering, short rains","NA","NA","# Frankliniella schultzei/plant","ANOVA","mean",1,"NA","NA",1.384615,5,"NA","NA",11.23077,"NA","intercrop","bean;sunflower","intercrop","bean;potato;sunflower",3,"Legume & Non-Legume","Vegetable","Uniform","Rainfed","Pest Management","Negative","assumed societal harm",NA,"NA","NA","NA",711.11,"Pests | Invertebrate Pests | Thrips","Negative | assumed societal harm"
"1264",1264,"Continuous cover",4021,"2009-1","1","1","Pests","Invertebrate Pests","Thrips","mean # of Frankliniella schultzei captured per plant (all species) at one week before flowering, short rains","NA","NA","# Frankliniella schultzei/plant","ANOVA","mean",2,"NA","NA",1.692308,4,"NA","NA",1.538462,"NA","intercrop","bean;maize","intercrop","bean;maize;sunflower",3,"Legume & Non-Legume","Vegetable;Cereal","Uniform","Rainfed","Pest Management","Negative","assumed societal harm",NA,"NA","NA","NA",-9.09,"Pests | Invertebrate Pests | Thrips","Negative | assumed societal harm"
"1265",1265,"Continuous cover",4021,"2009-1","1","1","Pests","Invertebrate Pests","Thrips","mean # of Frankliniella schultzei captured per plant (all species) at one week before flowering, short rains","NA","NA","# Frankliniella schultzei/plant","ANOVA","mean",3,"NA","NA",13.38462,5,"NA","NA",11.23077,"NA","intercrop","bean;potato","intercrop","bean;potato;sunflower",3,"Legume & Non-Legume","Vegetable","Uniform","Rainfed","Pest Management","Negative","assumed societal harm",NA,"NA","NA","NA",-16.09,"Pests | Invertebrate Pests | Thrips","Negative | assumed societal harm"
"1266",1266,"Continuous cover",4021,"2009-1","1","1","Pests","Invertebrate Pests","Thrips","mean # of Frankliniella schultzei captured per plant (all species) at flowering, short rains","NA","NA","# Frankliniella schultzei/plant","ANOVA","mean",0,"NA","NA",2.923077,1,"NA","NA",6.615385,"NA","monocrop","bean","intercrop","bean;sunflower",2,"Legume & Non-Legume","Vegetable","Uniform","Rainfed","Pest Management","Negative","assumed societal harm",NA,"NA","NA","NA",126.32,"Pests | Invertebrate Pests | Thrips","Negative | assumed societal harm"
