"","review","paper_id","duration","rv_year","loc_multi_results","group_level1","group_level2","group_level3","rv","rv_depth","sample_depth","rv_units","stat_test","stat_type","trt1","trt1_int","trt1_int2","trt1_value","trt2","trt2_int","trt2_int2","trt2_value","significance","finelevel_group","trt1_name","trt1_details","trt2_name","trt2_details","pm_group1","pm_group2","norm_interp2","norm_interp3","group_level1_alt","group_level2_alt","norm_interp2_alt","norm_interp3_alt","per_change","grouping","normative_effect"
"1","Pest Management",85,"2006-2","1","1","Crop Yields","Crop Damage","Corn lodging","lodged maize plants","NA","NA","%","LSD","mean",0,"2","NA",0,1,"2","NA",0,"ns","untreated_seedI","untreated","untreated maize planted in early June","clothianidin","clothianidin (1.25 mg ai per seed) seed treatment on maize planted in early June","Neonicotinoid (Insecticide)","Seed",NA,NA,NA,NA,NA,NA,0,"Crop Yields | Crop Damage | Corn lodging","NA | NA"
"220","Pest Management",73,"2000-3","2","1","Pests","Pathogens","Corn (infection of leaf tissue)","Stewart's wilt incidence (maize)","NA","NA","%","Bayesian LSD","mean",0,"NA","NA",8.1,5,"NA","NA",2.4,"0.05","untreated_seedI","untreated","untreated maize seed (Jubilee)","imidacloprid (Gaucho)","insecticide seed treatment, imidacloprid (0.675 mg ai / seed)","Neonicotinoid (Insecticide)","Seed",NA,NA,NA,NA,NA,NA,-5.7,"Pests | Pathogens | Corn (infection of leaf tissue)","NA | NA"
"221","Pest Management",73,"2000-3","2","1","Pests","Pathogens","Corn (infection of leaf tissue)","Stewart's wilt incidence (maize)","NA","NA","%","Bayesian LSD","mean",0,"NA","NA",8.1,6,"NA","NA",0.7,"0.05","untreated_seedI","untreated","untreated maize seed (Jubilee)","imidacloprid (Gaucho)","insecticide seed treatment, imidacloprid (1.25 mg ai / seed)","Neonicotinoid (Insecticide)","Seed",NA,NA,NA,NA,NA,NA,-7.4,"Pests | Pathogens | Corn (infection of leaf tissue)","NA | NA"
"222","Pest Management",73,"2000-3","2.5","1","Pests","Pathogens","Corn (infection of leaf tissue)","Stewart's wilt incidence (maize)","NA","NA","%","Bayesian LSD","mean",0,"NA","NA",9,3,"NA","NA",2.7,"0.05","untreated_seedI","untreated","untreated maize seed (Jubilee)","imidacloprid (Gaucho)","insecticide seed treatment, imidacloprid (0.16 mg ai / seed)","Neonicotinoid (Insecticide)","Seed",NA,NA,NA,NA,NA,NA,-6.3,"Pests | Pathogens | Corn (infection of leaf tissue)","NA | NA"
"223","Pest Management",73,"2000-3","2.5","1","Pests","Pathogens","Corn (infection of leaf tissue)","Stewart's wilt incidence (maize)","NA","NA","%","Bayesian LSD","mean",0,"NA","NA",9,4,"NA","NA",2.7,"0.05","untreated_seedI","untreated","untreated maize seed (Jubilee)","imidacloprid (Gaucho)","insecticide seed treatment, imidacloprid (0.34 mg ai / seed)","Neonicotinoid (Insecticide)","Seed",NA,NA,NA,NA,NA,NA,-6.3,"Pests | Pathogens | Corn (infection of leaf tissue)","NA | NA"
"224","Pest Management",73,"2000-3","2.5","1","Pests","Pathogens","Corn (infection of leaf tissue)","Stewart's wilt incidence (maize)","NA","NA","%","Bayesian LSD","mean",0,"NA","NA",9,5,"NA","NA",2.6,"0.05","untreated_seedI","untreated","untreated maize seed (Jubilee)","imidacloprid (Gaucho)","insecticide seed treatment, imidacloprid (0.675 mg ai / seed)","Neonicotinoid (Insecticide)","Seed",NA,NA,NA,NA,NA,NA,-6.4,"Pests | Pathogens | Corn (infection of leaf tissue)","NA | NA"
"225","Pest Management",73,"2000-3","2.5","1","Pests","Pathogens","Corn (infection of leaf tissue)","Stewart's wilt incidence (maize)","NA","NA","%","Bayesian LSD","mean",0,"NA","NA",9,6,"NA","NA",1.5,"0.05","untreated_seedI","untreated","untreated maize seed (Jubilee)","imidacloprid (Gaucho)","insecticide seed treatment, imidacloprid (1.25 mg ai / seed)","Neonicotinoid (Insecticide)","Seed",NA,NA,NA,NA,NA,NA,-7.5,"Pests | Pathogens | Corn (infection of leaf tissue)","NA | NA"
"226","Pest Management",73,"2000-3","2","3","Pests","Pathogens","Corn (infection of leaf tissue)","Stewart's wilt incidence (maize)","NA","NA","%","Bayesian LSD","mean",0,"NA","NA",44.2,3,"NA","NA",14.5,"0.05","untreated_seedI","untreated","untreated maize seed (Jubilee)","imidacloprid (Gaucho)","insecticide seed treatment, imidacloprid (0.16 mg ai / seed)","Neonicotinoid (Insecticide)","Seed",NA,NA,NA,NA,NA,NA,-29.7,"Pests | Pathogens | Corn (infection of leaf tissue)","NA | NA"
"227","Pest Management",78,"1991-1","1","6","Crop Yields","Grain Production","Corn","maize grain yield","NA","NA","100 kg/ha","LSD","mean",10,"24","NA",151,13,"24","NA",137,"ns","untreated_bandI","untreated","untreated maize, 35 g/ha herbicide (Nicosulfuron)","phorate","T-band organophosphate (phorate 20% ai granule applied at 0.11 g ai/m), 0 g/ha herbicide (Nicosulfuron)","Pyrethroid (Insecticide)","Soil",NA,NA,NA,NA,NA,NA,-9.27,"Crop Yields | Grain Production | Corn","NA | NA"
"228","Pest Management",78,"1991-1","1","6","Crop Yields","Grain Production","Corn","maize grain yield","NA","NA","100 kg/ha","LSD","mean",10,"25","NA",152,13,"25","NA",137,"ns","untreated_bandI","untreated","untreated maize, 35 g/ha herbicide (Nicosulfuron)","phorate","T-band organophosphate (phorate 20% ai granule applied at 0.11 g ai/m), 0 g/ha herbicide (Nicosulfuron)","Pyrethroid (Insecticide)","Soil",NA,NA,NA,NA,NA,NA,-9.87,"Crop Yields | Grain Production | Corn","NA | NA"
"229","Pest Management",78,"1991-1","1","6","Crop Yields","Crop Growth","Corn (reduction in vigor)","maize vigor reduction at 6 weeks (visual rating of 0 to 100, where 0 is no effect and 100 is total crop destruction)","NA","NA","%","LSD","mean",10,"21","23",0,15,"21","23",0,"ns","untreated_bandI","untreated","untreated maize, 0 g/ha herbicide (Nicosulfuron)","fonofos","T-band organophosphate (fonofos 20% ai granule applied at 0.11 g ai/m), 0 g/ha herbicide (Nicosulfuron)","Organophosphate (Insecticide)","Soil",NA,NA,NA,NA,NA,NA,0,"Crop Yields | Crop Growth | Corn (reduction in vigor)","NA | NA"
"230","Pest Management",78,"1991-1","1","6","Crop Yields","Crop Growth","Corn (reduction in vigor)","maize vigor reduction at 6 weeks (visual rating of 0 to 100, where 0 is no effect and 100 is total crop destruction)","NA","NA","%","LSD","mean",10,"21","24",0,15,"21","24",2,"ns","untreated_bandI","untreated","untreated maize, 35 g/ha herbicide (Nicosulfuron)","fonofos","T-band organophosphate (fonofos 20% ai granule applied at 0.11 g ai/m), 0 g/ha herbicide (Nicosulfuron)","Organophosphate (Insecticide)","Soil",NA,NA,NA,NA,NA,NA,2,"Crop Yields | Crop Growth | Corn (reduction in vigor)","NA | NA"
"231","Pest Management",78,"1991-1","1","6","Crop Yields","Crop Growth","Corn (reduction in vigor)","maize vigor reduction at 6 weeks (visual rating of 0 to 100, where 0 is no effect and 100 is total crop destruction)","NA","NA","%","LSD","mean",10,"21","25",3,15,"21","25",2,"ns","untreated_bandI","untreated","untreated maize, 35 g/ha herbicide (Nicosulfuron)","fonofos","T-band organophosphate (fonofos 20% ai granule applied at 0.11 g ai/m), 0 g/ha herbicide (Nicosulfuron)","Organophosphate (Insecticide)","Soil",NA,NA,NA,NA,NA,NA,-1,"Crop Yields | Crop Growth | Corn (reduction in vigor)","NA | NA"
"232","Pest Management",78,"1991-1","1","6","Crop Yields","Crop Growth","Corn (reduction in vigor)","maize vigor reduction at 6 weeks (visual rating of 0 to 100, where 0 is no effect and 100 is total crop destruction)","NA","NA","%","LSD","mean",10,"21","23",0,14,"21","23",0,"ns","untreated_bandI","untreated","untreated maize, 0 g/ha herbicide (Nicosulfuron)","phorate","T-band organophosphate (phorate 20% ai controlled release granule applied at 0.11 g ai/m), 0 g/ha herbicide (Nicosulfuron)","Pyrethroid (Insecticide)","Soil",NA,NA,NA,NA,NA,NA,0,"Crop Yields | Crop Growth | Corn (reduction in vigor)","NA | NA"
"233","Pest Management",78,"1991-1","1","6","Crop Yields","Crop Growth","Corn (reduction in vigor)","maize vigor reduction at 6 weeks (visual rating of 0 to 100, where 0 is no effect and 100 is total crop destruction)","NA","NA","%","LSD","mean",10,"21","24",0,14,"21","24",2,"ns","untreated_bandI","untreated","untreated maize, 35 g/ha herbicide (Nicosulfuron)","phorate","T-band organophosphate (phorate 20% ai controlled release granule applied at 0.11 g ai/m), 0 g/ha herbicide (Nicosulfuron)","Pyrethroid (Insecticide)","Soil",NA,NA,NA,NA,NA,NA,2,"Crop Yields | Crop Growth | Corn (reduction in vigor)","NA | NA"
"234","Pest Management",78,"1991-1","1","6","Crop Yields","Crop Growth","Corn (reduction in vigor)","maize vigor reduction at 6 weeks (visual rating of 0 to 100, where 0 is no effect and 100 is total crop destruction)","NA","NA","%","LSD","mean",10,"21","25",3,14,"21","25",0,"ns","untreated_bandI","untreated","untreated maize, 35 g/ha herbicide (Nicosulfuron)","phorate","T-band organophosphate (phorate 20% ai controlled release granule applied at 0.11 g ai/m), 0 g/ha herbicide (Nicosulfuron)","Pyrethroid (Insecticide)","Soil",NA,NA,NA,NA,NA,NA,-3,"Crop Yields | Crop Growth | Corn (reduction in vigor)","NA | NA"
"235","Pest Management",78,"1991-1","1","6","Crop Yields","Crop Growth","Corn (reduction in vigor)","maize vigor reduction at 6 weeks (visual rating of 0 to 100, where 0 is no effect and 100 is total crop destruction)","NA","NA","%","LSD","mean",10,"21","23",0,13,"21","23",0,"ns","untreated_bandI","untreated","untreated maize, 0 g/ha herbicide (Nicosulfuron)","phorate","T-band organophosphate (phorate 20% ai granule applied at 0.11 g ai/m), 0 g/ha herbicide (Nicosulfuron)","Pyrethroid (Insecticide)","Soil",NA,NA,NA,NA,NA,NA,0,"Crop Yields | Crop Growth | Corn (reduction in vigor)","NA | NA"
"236","Pest Management",78,"1991-1","1","6","Crop Yields","Crop Growth","Corn (reduction in vigor)","maize vigor reduction at 6 weeks (visual rating of 0 to 100, where 0 is no effect and 100 is total crop destruction)","NA","NA","%","LSD","mean",10,"21","24",0,13,"21","24",0,"ns","untreated_bandI","untreated","untreated maize, 35 g/ha herbicide (Nicosulfuron)","phorate","T-band organophosphate (phorate 20% ai granule applied at 0.11 g ai/m), 0 g/ha herbicide (Nicosulfuron)","Pyrethroid (Insecticide)","Soil",NA,NA,NA,NA,NA,NA,0,"Crop Yields | Crop Growth | Corn (reduction in vigor)","NA | NA"
"237","Pest Management",78,"1991-1","1","6","Crop Yields","Crop Growth","Corn (reduction in vigor)","maize vigor reduction at 6 weeks (visual rating of 0 to 100, where 0 is no effect and 100 is total crop destruction)","NA","NA","%","LSD","mean",10,"21","25",3,13,"21","25",2,"ns","untreated_bandI","untreated","untreated maize, 35 g/ha herbicide (Nicosulfuron)","phorate","T-band organophosphate (phorate 20% ai granule applied at 0.11 g ai/m), 0 g/ha herbicide (Nicosulfuron)","Pyrethroid (Insecticide)","Soil",NA,NA,NA,NA,NA,NA,-1,"Crop Yields | Crop Growth | Corn (reduction in vigor)","NA | NA"
"238","Pest Management",78,"1991-1","1","6","Crop Yields","Crop Growth","Corn (reduction in vigor)","maize vigor reduction at 6 weeks (visual rating of 0 to 100, where 0 is no effect and 100 is total crop destruction)","NA","NA","%","LSD","mean",10,"20","23",0,14,"20","23",0,"ns","untreated_furrowI","untreated","untreated maize, 0 g/ha herbicide (Nicosulfuron)","phorate","in-furrow organophosphate (phorate 20% ai controlled release granule applied at 0.11 g ai/m), 0 g/ha herbicide (Nicosulfuron)","Pyrethroid (Insecticide)","Soil",NA,NA,NA,NA,NA,NA,0,"Crop Yields | Crop Growth | Corn (reduction in vigor)","NA | NA"
"239","Pest Management",78,"1991-1","1","6","Crop Yields","Crop Growth","Corn (reduction in vigor)","maize vigor reduction at 6 weeks (visual rating of 0 to 100, where 0 is no effect and 100 is total crop destruction)","NA","NA","%","LSD","mean",10,"20","24",0,14,"20","24",3,"ns","untreated_furrowI","untreated","untreated maize, 35 g/ha herbicide (Nicosulfuron)","phorate","in-furrow organophosphate (phorate 20% ai controlled release granule applied at 0.11 g ai/m), 35 g/ha herbicide (Nicosulfuron)","Pyrethroid (Insecticide)","Soil",NA,NA,NA,NA,NA,NA,3,"Crop Yields | Crop Growth | Corn (reduction in vigor)","NA | NA"
"240","Pest Management",78,"1991-1","1","6","Crop Yields","Crop Growth","Corn (reduction in vigor)","maize vigor reduction at 6 weeks (visual rating of 0 to 100, where 0 is no effect and 100 is total crop destruction)","NA","NA","%","LSD","mean",10,"20","25",2,14,"20","25",5,"ns","untreated_furrowI","untreated","untreated maize, 35 g/ha herbicide (Nicosulfuron)","phorate","in-furrow organophosphate (phorate 20% ai controlled release granule applied at 0.11 g ai/m), 35 g/ha herbicide (Nicosulfuron)","Pyrethroid (Insecticide)","Soil",NA,NA,NA,NA,NA,NA,3,"Crop Yields | Crop Growth | Corn (reduction in vigor)","NA | NA"
"241","Pest Management",78,"1991-1","1","6","Crop Yields","Crop Growth","Corn (reduction in vigor)","maize vigor reduction at 6 weeks (visual rating of 0 to 100, where 0 is no effect and 100 is total crop destruction)","NA","NA","%","LSD","mean",10,"20","23",0,13,"20","23",8,"0.05","untreated_furrowI","untreated","untreated maize, 0 g/ha herbicide (Nicosulfuron)","phorate","in-furrow organophosphate (phorate 20% ai granule applied at 0.11 g ai/m), 0 g/ha herbicide (Nicosulfuron)","Pyrethroid (Insecticide)","Soil",NA,NA,NA,NA,NA,NA,8,"Crop Yields | Crop Growth | Corn (reduction in vigor)","NA | NA"
"242","Pest Management",78,"1991-1","1","6","Crop Yields","Crop Growth","Corn (reduction in vigor)","maize vigor reduction at 6 weeks (visual rating of 0 to 100, where 0 is no effect and 100 is total crop destruction)","NA","NA","%","LSD","mean",10,"20","24",0,13,"20","24",12,"0.05","untreated_furrowI","untreated","untreated maize, 35 g/ha herbicide (Nicosulfuron)","phorate","in-furrow organophosphate (phorate 20% ai granule applied at 0.11 g ai/m), 35 g/ha herbicide (Nicosulfuron)","Pyrethroid (Insecticide)","Soil",NA,NA,NA,NA,NA,NA,12,"Crop Yields | Crop Growth | Corn (reduction in vigor)","NA | NA"
"243","Pest Management",78,"1991-1","1","6","Crop Yields","Crop Growth","Corn (reduction in vigor)","maize vigor reduction at 6 weeks (visual rating of 0 to 100, where 0 is no effect and 100 is total crop destruction)","NA","NA","%","LSD","mean",10,"20","25",2,13,"20","25",18,"0.05","untreated_furrowI","untreated","untreated maize, 35 g/ha herbicide (Nicosulfuron)","phorate","in-furrow organophosphate (phorate 20% ai granule applied at 0.11 g ai/m), 35 g/ha herbicide (Nicosulfuron)","Pyrethroid (Insecticide)","Soil",NA,NA,NA,NA,NA,NA,16,"Crop Yields | Crop Growth | Corn (reduction in vigor)","NA | NA"
"244","Pest Management",78,"1991-1","1","6","Crop Yields","Crop Growth","Corn (reduction in vigor)","maize vigor reduction at 6 weeks (visual rating of 0 to 100, where 0 is no effect and 100 is total crop destruction)","NA","NA","%","LSD","mean",10,"21","23",0,19,"21","23",0,"ns","untreated_bandI","untreated","untreated maize, 0 g/ha herbicide (Nicosulfuron)","tefluthrin","T-band organophosphate (tefluthrin 1.5% ai granule applied at 0.11 g ai/m), 0 g/ha herbicide (Nicosulfuron)","Organophosphate (Insecticide)","Soil",NA,NA,NA,NA,NA,NA,0,"Crop Yields | Crop Growth | Corn (reduction in vigor)","NA | NA"
"245","Pest Management",78,"1991-1","1","6","Crop Yields","Crop Growth","Corn (reduction in vigor)","maize vigor reduction at 6 weeks (visual rating of 0 to 100, where 0 is no effect and 100 is total crop destruction)","NA","NA","%","LSD","mean",10,"21","24",0,19,"21","24",0,"ns","untreated_bandI","untreated","untreated maize, 35 g/ha herbicide (Nicosulfuron)","tefluthrin","T-band organophosphate (tefluthrin 1.5% ai granule applied at 0.11 g ai/m), 0 g/ha herbicide (Nicosulfuron)","Organophosphate (Insecticide)","Soil",NA,NA,NA,NA,NA,NA,0,"Crop Yields | Crop Growth | Corn (reduction in vigor)","NA | NA"
"246","Pest Management",78,"1991-1","1","6","Crop Yields","Crop Growth","Corn (reduction in vigor)","maize vigor reduction at 6 weeks (visual rating of 0 to 100, where 0 is no effect and 100 is total crop destruction)","NA","NA","%","LSD","mean",10,"21","25",3,19,"21","25",0,"ns","untreated_bandI","untreated","untreated maize, 35 g/ha herbicide (Nicosulfuron)","tefluthrin","T-band organophosphate (tefluthrin 1.5% ai granule applied at 0.11 g ai/m), 0 g/ha herbicide (Nicosulfuron)","Organophosphate (Insecticide)","Soil",NA,NA,NA,NA,NA,NA,-3,"Crop Yields | Crop Growth | Corn (reduction in vigor)","NA | NA"
"247","Pest Management",78,"1991-1","1","6","Crop Yields","Crop Growth","Corn (reduction in vigor)","maize vigor reduction at 6 weeks (visual rating of 0 to 100, where 0 is no effect and 100 is total crop destruction)","NA","NA","%","LSD","mean",10,"20","23",0,19,"20","23",0,"ns","untreated_furrowI","untreated","untreated maize, 0 g/ha herbicide (Nicosulfuron)","tefluthrin","in-furrow organophosphate (tefluthrin 1.5% ai granule applied at 0.11 g ai/m), 0 g/ha herbicide (Nicosulfuron)","Organophosphate (Insecticide)","Soil",NA,NA,NA,NA,NA,NA,0,"Crop Yields | Crop Growth | Corn (reduction in vigor)","NA | NA"
"248","Pest Management",78,"1991-1","1","6","Crop Yields","Crop Growth","Corn (reduction in vigor)","maize vigor reduction at 6 weeks (visual rating of 0 to 100, where 0 is no effect and 100 is total crop destruction)","NA","NA","%","LSD","mean",10,"20","24",0,19,"20","24",0,"ns","untreated_furrowI","untreated","untreated maize, 35 g/ha herbicide (Nicosulfuron)","tefluthrin","in-furrow organophosphate (tefluthrin 1.5% ai granule applied at 0.11 g ai/m), 35 g/ha herbicide (Nicosulfuron)","Organophosphate (Insecticide)","Soil",NA,NA,NA,NA,NA,NA,0,"Crop Yields | Crop Growth | Corn (reduction in vigor)","NA | NA"
"249","Pest Management",78,"1991-1","1","6","Crop Yields","Crop Growth","Corn (reduction in vigor)","maize vigor reduction at 6 weeks (visual rating of 0 to 100, where 0 is no effect and 100 is total crop destruction)","NA","NA","%","LSD","mean",10,"20","25",2,19,"20","25",0,"ns","untreated_furrowI","untreated","untreated maize, 35 g/ha herbicide (Nicosulfuron)","tefluthrin","in-furrow organophosphate (tefluthrin 1.5% ai granule applied at 0.11 g ai/m), 35 g/ha herbicide (Nicosulfuron)","Organophosphate (Insecticide)","Soil",NA,NA,NA,NA,NA,NA,-2,"Crop Yields | Crop Growth | Corn (reduction in vigor)","NA | NA"
"250","Pest Management",78,"1991-1","1","1","Crop Yields","Crop Growth","Corn (reduction in vigor)","maize vigor reduction (visual rating of 0 to 100, where 0 is no effect and 100 is total crop destruction)","NA","NA","%","LSD","mean",0,"7","NA",2,3,"7","NA",3,"ns","untreated_bandI","untreated","untreated maize, 0 g/ha herbicide (Nicosulfuron)","terbufos","surface band organophosphate (15% ai granule applied at 0.11 g ai/m, Terbufos), 0 g/ha herbicide (Nicosulfuron)","Organophosphate (Insecticide)","Soil",NA,NA,NA,NA,NA,NA,1,"Crop Yields | Crop Growth | Corn (reduction in vigor)","NA | NA"
"251","Pest Management",78,"1991-1","1","2","Crop Yields","Crop Growth","Corn (reduction in vigor)","maize vigor reduction (visual rating of 0 to 100, where 0 is no effect and 100 is total crop destruction)","NA","NA","%","LSD","mean",0,"7","NA",0,3,"7","NA",0,"ns","untreated_bandI","untreated","untreated maize, 0 g/ha herbicide (Nicosulfuron)","terbufos","surface band organophosphate (15% ai granule applied at 0.11 g ai/m, Terbufos), 0 g/ha herbicide (Nicosulfuron)","Organophosphate (Insecticide)","Soil",NA,NA,NA,NA,NA,NA,0,"Crop Yields | Crop Growth | Corn (reduction in vigor)","NA | NA"
"252","Pest Management",78,"1991-1","1","3","Crop Yields","Crop Growth","Corn (reduction in vigor)","maize vigor reduction (visual rating of 0 to 100, where 0 is no effect and 100 is total crop destruction)","NA","NA","%","LSD","mean",0,"7","NA",0,3,"7","NA",0,"ns","untreated_bandI","untreated","untreated maize, 0 g/ha herbicide (Nicosulfuron)","terbufos","surface band organophosphate (15% ai granule applied at 0.11 g ai/m, Terbufos), 0 g/ha herbicide (Nicosulfuron)","Organophosphate (Insecticide)","Soil",NA,NA,NA,NA,NA,NA,0,"Crop Yields | Crop Growth | Corn (reduction in vigor)","NA | NA"
"253","Pest Management",78,"1991-1","1","1","Crop Yields","Crop Growth","Corn (reduction in vigor)","maize vigor reduction (visual rating of 0 to 100, where 0 is no effect and 100 is total crop destruction)","NA","NA","%","LSD","mean",0,"8","NA",3,3,"8","NA",1,"ns","untreated_bandI","untreated","untreated maize, 35 g/ha herbicide (Nicosulfuron)","terbufos","surface band organophosphate (15% ai granule applied at 0.11 g ai/m, Terbufos), 35 g/ha herbicide (Nicosulfuron)","Organophosphate (Insecticide)","Soil",NA,NA,NA,NA,NA,NA,-2,"Crop Yields | Crop Growth | Corn (reduction in vigor)","NA | NA"
"254","Pest Management",78,"1991-1","1","2","Crop Yields","Crop Growth","Corn (reduction in vigor)","maize vigor reduction (visual rating of 0 to 100, where 0 is no effect and 100 is total crop destruction)","NA","NA","%","LSD","mean",0,"8","NA",3,3,"8","NA",5,"ns","untreated_bandI","untreated","untreated maize, 35 g/ha herbicide (Nicosulfuron)","terbufos","surface band organophosphate (15% ai granule applied at 0.11 g ai/m, Terbufos), 35 g/ha herbicide (Nicosulfuron)","Organophosphate (Insecticide)","Soil",NA,NA,NA,NA,NA,NA,2,"Crop Yields | Crop Growth | Corn (reduction in vigor)","NA | NA"
"255","Pest Management",78,"1991-1","1","3","Crop Yields","Crop Growth","Corn (reduction in vigor)","maize vigor reduction (visual rating of 0 to 100, where 0 is no effect and 100 is total crop destruction)","NA","NA","%","LSD","mean",0,"8","NA",23,3,"8","NA",28,"ns","untreated_bandI","untreated","untreated maize, 35 g/ha herbicide (Nicosulfuron)","terbufos","surface band organophosphate (15% ai granule applied at 0.11 g ai/m, Terbufos), 35 g/ha herbicide (Nicosulfuron)","Organophosphate (Insecticide)","Soil",NA,NA,NA,NA,NA,NA,5,"Crop Yields | Crop Growth | Corn (reduction in vigor)","NA | NA"
"256","Pest Management",78,"1991-1","1","1","Crop Yields","Crop Growth","Corn (reduction in vigor)","maize vigor reduction (visual rating of 0 to 100, where 0 is no effect and 100 is total crop destruction)","NA","NA","%","LSD","mean",0,"9","NA",3,3,"9","NA",1,"ns","untreated_bandI","untreated","untreated maize, 70 g/ha herbicide (Nicosulfuron)","terbufos","surface band organophosphate (15% ai granule applied at 0.11 g ai/m, Terbufos), 70 g/ha herbicide (Nicosulfuron)","Organophosphate (Insecticide)","Soil",NA,NA,NA,NA,NA,NA,-2,"Crop Yields | Crop Growth | Corn (reduction in vigor)","NA | NA"
"257","Pest Management",78,"1991-1","1","2","Crop Yields","Crop Growth","Corn (reduction in vigor)","maize vigor reduction (visual rating of 0 to 100, where 0 is no effect and 100 is total crop destruction)","NA","NA","%","LSD","mean",0,"9","NA",1,3,"9","NA",9,"ns","untreated_bandI","untreated","untreated maize, 70 g/ha herbicide (Nicosulfuron)","terbufos","surface band organophosphate (15% ai granule applied at 0.11 g ai/m, Terbufos), 70 g/ha herbicide (Nicosulfuron)","Organophosphate (Insecticide)","Soil",NA,NA,NA,NA,NA,NA,8,"Crop Yields | Crop Growth | Corn (reduction in vigor)","NA | NA"
"258","Pest Management",78,"1991-1","1","3","Crop Yields","Crop Growth","Corn (reduction in vigor)","maize vigor reduction (visual rating of 0 to 100, where 0 is no effect and 100 is total crop destruction)","NA","NA","%","LSD","mean",0,"9","NA",27,3,"9","NA",38,"ns","untreated_bandI","untreated","untreated maize, 70 g/ha herbicide (Nicosulfuron)","terbufos","surface band organophosphate (15% ai granule applied at 0.11 g ai/m, Terbufos), 70 g/ha herbicide (Nicosulfuron)","Organophosphate (Insecticide)","Soil",NA,NA,NA,NA,NA,NA,11,"Crop Yields | Crop Growth | Corn (reduction in vigor)","NA | NA"
"259","Pest Management",73,"2000-3","2","3","Pests","Pathogens","Corn (infection of leaf tissue)","Stewart's wilt incidence (maize)","NA","NA","%","Bayesian LSD","mean",0,"NA","NA",44.2,4,"NA","NA",9.4,"0.05","untreated_seedI","untreated","untreated maize seed (Jubilee)","imidacloprid (Gaucho)","insecticide seed treatment, imidacloprid (0.34 mg ai / seed)","Neonicotinoid (Insecticide)","Seed",NA,NA,NA,NA,NA,NA,-34.8,"Pests | Pathogens | Corn (infection of leaf tissue)","NA | NA"
"260","Pest Management",73,"2000-3","2","3","Pests","Pathogens","Corn (infection of leaf tissue)","Stewart's wilt incidence (maize)","NA","NA","%","Bayesian LSD","mean",0,"NA","NA",44.2,5,"NA","NA",6.8,"0.05","untreated_seedI","untreated","untreated maize seed (Jubilee)","imidacloprid (Gaucho)","insecticide seed treatment, imidacloprid (0.675 mg ai / seed)","Neonicotinoid (Insecticide)","Seed",NA,NA,NA,NA,NA,NA,-37.4,"Pests | Pathogens | Corn (infection of leaf tissue)","NA | NA"
"261","Pest Management",73,"2000-3","2","3","Pests","Pathogens","Corn (infection of leaf tissue)","Stewart's wilt incidence (maize)","NA","NA","%","Bayesian LSD","mean",0,"NA","NA",44.2,6,"NA","NA",5,"0.05","untreated_seedI","untreated","untreated maize seed (Jubilee)","imidacloprid (Gaucho)","insecticide seed treatment, imidacloprid (1.25 mg ai / seed)","Neonicotinoid (Insecticide)","Seed",NA,NA,NA,NA,NA,NA,-39.2,"Pests | Pathogens | Corn (infection of leaf tissue)","NA | NA"
"262","Pest Management",73,"2000-3","2","3","Pests","Pathogens","Corn (infection of leaf tissue)","Stewart's wilt incidence (maize)","NA","NA","%","Bayesian LSD","mean",0,"NA","NA",24.7,3,"NA","NA",13.9,"0.05","untreated_seedI","untreated","untreated maize seed (Supersweet Jubilee)","imidacloprid (Gaucho)","insecticide seed treatment, imidacloprid (0.16 mg ai / seed)","Neonicotinoid (Insecticide)","Seed",NA,NA,NA,NA,NA,NA,-10.8,"Pests | Pathogens | Corn (infection of leaf tissue)","NA | NA"
"263","Pest Management",73,"2000-3","2","3","Pests","Pathogens","Corn (infection of leaf tissue)","Stewart's wilt incidence (maize)","NA","NA","%","Bayesian LSD","mean",0,"NA","NA",24.7,4,"NA","NA",10.7,"0.05","untreated_seedI","untreated","untreated maize seed (Supersweet Jubilee)","imidacloprid (Gaucho)","insecticide seed treatment, imidacloprid (0.34 mg ai / seed)","Neonicotinoid (Insecticide)","Seed",NA,NA,NA,NA,NA,NA,-14,"Pests | Pathogens | Corn (infection of leaf tissue)","NA | NA"
"264","Pest Management",73,"2000-3","2","3","Pests","Pathogens","Corn (infection of leaf tissue)","Stewart's wilt incidence (maize)","NA","NA","%","Bayesian LSD","mean",0,"NA","NA",24.7,5,"NA","NA",7.7,"0.05","untreated_seedI","untreated","untreated maize seed (Supersweet Jubilee)","imidacloprid (Gaucho)","insecticide seed treatment, imidacloprid (0.675 mg ai / seed)","Neonicotinoid (Insecticide)","Seed",NA,NA,NA,NA,NA,NA,-17,"Pests | Pathogens | Corn (infection of leaf tissue)","NA | NA"
"265","Pest Management",73,"2000-3","2","3","Pests","Pathogens","Corn (infection of leaf tissue)","Stewart's wilt incidence (maize)","NA","NA","%","Bayesian LSD","mean",0,"NA","NA",24.7,6,"NA","NA",7.8,"0.05","untreated_seedI","untreated","untreated maize seed (Supersweet Jubilee)","imidacloprid (Gaucho)","insecticide seed treatment, imidacloprid (1.25 mg ai / seed)","Neonicotinoid (Insecticide)","Seed",NA,NA,NA,NA,NA,NA,-16.9,"Pests | Pathogens | Corn (infection of leaf tissue)","NA | NA"
