"","review","paper_id","duration","rv_year","loc_multi_results","group_level1","group_level2","group_level3","rv","rv_trtspecifics","rv_depth","sample_depth","rv_units","stat_test","stat_type","trt1","trt1_int","trt1_int2","trt1_value","trt2","trt2_int","trt2_int2","trt2_value","significance","effect_norm","finelevel_group","trt1_name","trt1_details","trt2_name","trt2_details","nutrient_groups","norm_interp2","norm_interp3","group_level1_alt","group_level2_alt","norm_interp2_alt","norm_interp3_alt","per_change","grouping","normative_effect"
"1","Nutrient Management",3000,"2011-3","1;2;3","1","Crop Yields","Grain Quality","Corn Grain Weight & Moisture Content","maize grain moisture","168 kg N/ha","NA","NA","g/kg","LSD","mean","0","NA","NA",191,"1","NA","NA",196,"ns","0","timing_fall_preplant","Fall","fall applied, 168 kg N/ha","Spring","spring applied, 168 kg N/ha","Application Timing","Positive","assumed societal benefit",NA,NA,NA,NA,2.62,"Crop Yields | Grain Quality | Corn Grain Weight & Moisture Content","Positive | assumed societal benefit"
"494","Nutrient Management",132,"2001-2","1;2","1","Soil Nutrients","Nitrate","Early Season","total soil mineral nitrate","maize V6 stage","0-30 cm","0-30 cm","log kg N/ha","LSD","mean","2","NA","NA",2.29,"3","NA","NA",2.18,"ns","0","split_plant_plantV6","Preplant","nitrogen fertilizer applied at planting only","Early Season","nitrogen fertilizer applied at planting and V6","Application Timing","Dependent on other factors","dependent on other factors",NA,NA,NA,NA,-4.8,"Soil Nutrients | Nitrate | Early Season","Dependent on other factors | dependent on other factors"
"495","Nutrient Management",132,"2001-2","1;2","1","Soil Nutrients","Nitrate","Early Season","total soil mineral nitrate","maize V6 stage","0-30 cm","0-30 cm","log kg N/ha","LSD","mean","2","NA","NA",2.29,"4","NA","NA",1.94,"0.05","1","split_plant_V6","Preplant","nitrogen fertilizer applied at planting only","Early Season","nitrogen fertilizer applied at V6 only","Application Timing","Dependent on other factors","dependent on other factors",NA,NA,NA,NA,-15.28,"Soil Nutrients | Nitrate | Early Season","Dependent on other factors | dependent on other factors"
"496","Nutrient Management",132,"2001-2","1;2","1","Soil Nutrients","Ammonium","Mid Season","soil ammonium","maize R1 stage","0-30 cm","0-30 cm","log kg N/ha","LSD","mean","0","NA","NA",1.65,"1","NA","NA",1.72,"ns","0","timing_preplant_plant","Preplant","early application of nitrogen fertilizer (preplanting & planting and/or V6 stage, March)","Early Season","late application of nitrogen fertilizer (no preplant fertilization, applied at planting and/or V6 stage)","Application Timing","Dependent on other factors","dependent on other factors",NA,NA,NA,NA,4.24,"Soil Nutrients | Ammonium | Mid Season","Dependent on other factors | dependent on other factors"
"497","Nutrient Management",132,"2001-2","1;2","1","Soil Nutrients","Nitrate","Mid Season","soil nitrate","maize R1 stage","0-30 cm","0-30 cm","log kg N/ha","LSD","mean","0","NA","NA",1.94,"1","NA","NA",2.04,"ns","0","timing_preplant_plant","Preplant","early application of nitrogen fertilizer (preplanting & planting and/or V6 stage, March)","Early Season","late application of nitrogen fertilizer (no preplant fertilization, applied at planting and/or V6 stage)","Application Timing","Dependent on other factors","dependent on other factors",NA,NA,NA,NA,5.15,"Soil Nutrients | Nitrate | Mid Season","Dependent on other factors | dependent on other factors"
"498","Nutrient Management",132,"2001-2","1;2","1","Soil Nutrients","Nitrate","Mid Season","total soil mineral nitrate","maize R1 stage","0-30 cm","0-30 cm","log kg N/ha","LSD","mean","0","NA","NA",2.17,"1","NA","NA",2.26,"0.1","1","timing_preplant_plant","Preplant","early application of nitrogen fertilizer (preplanting & planting and/or V6 stage, March)","Early Season","late application of nitrogen fertilizer (no preplant fertilization, applied at planting and/or V6 stage)","Application Timing","Dependent on other factors","dependent on other factors",NA,NA,NA,NA,4.15,"Soil Nutrients | Nitrate | Mid Season","Dependent on other factors | dependent on other factors"
"499","Nutrient Management",132,"2001-2","1;2","1","Soil Nutrients","Ammonium","Mid Season","soil ammonium","maize R1 stage","0-30 cm","0-30 cm","log kg N/ha","LSD","mean","2","NA","NA",1.58,"3","NA","NA",1.68,"ns","0","split_plant_plantV6","Preplant","nitrogen fertilizer applied at planting only","Early Season","nitrogen fertilizer applied at planting and V6","Application Timing","Dependent on other factors","dependent on other factors",NA,NA,NA,NA,6.33,"Soil Nutrients | Ammonium | Mid Season","Dependent on other factors | dependent on other factors"
"500","Nutrient Management",132,"2001-2","1;2","1","Soil Nutrients","Ammonium","Mid Season","soil ammonium","maize R1 stage","0-30 cm","0-30 cm","log kg N/ha","LSD","mean","2","NA","NA",1.58,"4","NA","NA",1.79,"0.05","1","split_plant_V6","Preplant","nitrogen fertilizer applied at planting only","Early Season","nitrogen fertilizer applied at V6 only","Application Timing","Dependent on other factors","dependent on other factors",NA,NA,NA,NA,13.29,"Soil Nutrients | Ammonium | Mid Season","Dependent on other factors | dependent on other factors"
"501","Nutrient Management",132,"2001-2","1;2","1","Soil Nutrients","Nitrate","Mid Season","soil nitrate","maize R1 stage","0-30 cm","0-30 cm","log kg N/ha","LSD","mean","2","NA","NA",2.01,"3","NA","NA",1.99,"ns","0","split_plant_plantV6","Preplant","nitrogen fertilizer applied at planting only","Early Season","nitrogen fertilizer applied at planting and V6","Application Timing","Dependent on other factors","dependent on other factors",NA,NA,NA,NA,-1,"Soil Nutrients | Nitrate | Mid Season","Dependent on other factors | dependent on other factors"
"502","Nutrient Management",132,"2001-2","1;2","1","Soil Nutrients","Nitrate","Mid Season","soil nitrate","maize R1 stage","0-30 cm","0-30 cm","log kg N/ha","LSD","mean","2","NA","NA",2.01,"4","NA","NA",1.97,"ns","0","split_plant_V6","Preplant","nitrogen fertilizer applied at planting only","Early Season","nitrogen fertilizer applied at V6 only","Application Timing","Dependent on other factors","dependent on other factors",NA,NA,NA,NA,-1.99,"Soil Nutrients | Nitrate | Mid Season","Dependent on other factors | dependent on other factors"
"503","Nutrient Management",132,"2001-2","1;2","1","Soil Nutrients","Nitrate","Mid Season","total soil mineral nitrate","maize R1 stage","0-30 cm","0-30 cm","log kg N/ha","LSD","mean","2","NA","NA",2.17,"3","NA","NA",2.2,"ns","0","split_plant_plantV6","Preplant","nitrogen fertilizer applied at planting only","Early Season","nitrogen fertilizer applied at planting and V6","Application Timing","Dependent on other factors","dependent on other factors",NA,NA,NA,NA,1.38,"Soil Nutrients | Nitrate | Mid Season","Dependent on other factors | dependent on other factors"
"504","Nutrient Management",132,"2001-2","1;2","1","Soil Nutrients","Nitrate","Mid Season","total soil mineral nitrate","maize R1 stage","0-30 cm","0-30 cm","log kg N/ha","LSD","mean","2","NA","NA",2.17,"4","NA","NA",2.27,"0.05","1","split_plant_V6","Preplant","nitrogen fertilizer applied at planting only","Early Season","nitrogen fertilizer applied at V6 only","Application Timing","Dependent on other factors","dependent on other factors",NA,NA,NA,NA,4.61,"Soil Nutrients | Nitrate | Mid Season","Dependent on other factors | dependent on other factors"
"505","Nutrient Management",132,"2001-2","1;2","1","Crop Yields","Grain Yields","Corn","maize grain yield","NA","NA","NA","Mg/ha","LSD","mean","0","3","NA",7.29,"1","3","NA",7.71,"ns","0","split_preplant_plant","Preplant","nitrogen fertilizer applied at preplanting only","Early Season","nitrogen fertilizer applied at planting only","Application Timing","Positive","assumed societal benefit",NA,NA,NA,NA,5.76,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"506","Nutrient Management",132,"2001-2","1;2","1","Soil Nutrients","Ammonium","Late Season","soil ammonium","post harvest of maize","0-30 cm","0-30 cm","log kg N/ha","LSD","mean","0","NA","NA",1.46,"1","NA","NA",1.65,"ns","0","timing_preplant_plant","Preplant","early application of nitrogen fertilizer (preplanting & planting and/or V6 stage, March)","Early Season","late application of nitrogen fertilizer (no preplant fertilization, applied at planting and/or V6 stage)","Application Timing","Dependent on other factors","dependent on other factors",NA,NA,NA,NA,13.01,"Soil Nutrients | Ammonium | Late Season","Dependent on other factors | dependent on other factors"
"507","Nutrient Management",132,"2001-2","1;2","1","Soil Nutrients","Ammonium","Late Season","soil ammonium","post harvest of maize","30-60 cm","0-60 cm","log kg N/ha","LSD","mean","0","NA","NA",0.89,"1","NA","NA",1.07,"ns","0","timing_preplant_plant","Preplant","early application of nitrogen fertilizer (preplanting & planting and/or V6 stage, March)","Early Season","late application of nitrogen fertilizer (no preplant fertilization, applied at planting and/or V6 stage)","Application Timing","Dependent on other factors","dependent on other factors",NA,NA,NA,NA,20.22,"Soil Nutrients | Ammonium | Late Season","Dependent on other factors | dependent on other factors"
"508","Nutrient Management",132,"2001-2","1;2","1","Soil Nutrients","Ammonium","Late Season","soil ammonium","post harvest of maize","30-60 cm","0-60 cm","log kg N/ha","LSD","mean","0","NA","NA",0.68,"1","NA","NA",0.73,"ns","0","timing_preplant_plant","Preplant","early application of nitrogen fertilizer (preplanting & planting and/or V6 stage, March)","Early Season","late application of nitrogen fertilizer (no preplant fertilization, applied at planting and/or V6 stage)","Application Timing","Dependent on other factors","dependent on other factors",NA,NA,NA,NA,7.35,"Soil Nutrients | Ammonium | Late Season","Dependent on other factors | dependent on other factors"
"509","Nutrient Management",137,"2002-3","1","1","Water Quality","Flow Quantity","Water Discharge","annual tile drainage discharge volume","NA","NA","NA","mm/yr","Tukey","mean","1","5","NA",576,"2","5","NA",479,"ns","0","timing_spring_V3","Preplant","spring applied (preplant) anhydrous ammonia (156 kg N/ha)","Early Season","side dress application of anhydrous ammonia (156 kg N/ha) at maize V3-V5 stage","Application Timing","Negative","assumed societal harm",NA,NA,NA,NA,-16.84,"Water Quality | Flow Quantity | Water Discharge","Negative | assumed societal harm"
"510","Nutrient Management",137,"2002-3","2","1","Water Quality","Flow Quantity","Water Discharge","annual tile drainage discharge volume","NA","NA","NA","mm/yr","Tukey","mean","1","5","NA",143,"2","5","NA",138,"ns","0","timing_spring_V3","Preplant","spring applied (preplant) anhydrous ammonia (156 kg N/ha)","Early Season","side dress application of anhydrous ammonia (156 kg N/ha) at maize V3-V5 stage","Application Timing","Negative","assumed societal harm",NA,NA,NA,NA,-3.5,"Water Quality | Flow Quantity | Water Discharge","Negative | assumed societal harm"
"511","Nutrient Management",137,"2002-3","3","1","Water Quality","Flow Quantity","Water Discharge","annual tile drainage discharge volume","NA","NA","NA","mm/yr","Tukey","mean","1","5","NA",120,"2","5","NA",159,"ns","0","timing_spring_V3","Preplant","spring applied (preplant) anhydrous ammonia (156 kg N/ha)","Early Season","side dress application of anhydrous ammonia (156 kg N/ha) at maize V3-V5 stage","Application Timing","Negative","assumed societal harm",NA,NA,NA,NA,32.5,"Water Quality | Flow Quantity | Water Discharge","Negative | assumed societal harm"
"512","Nutrient Management",137,"2002-3","1","1","Water Quality","Nutrient Runoff","Nitrate","flow-weighted nitrate concentration","in drainage tiles","NA","NA","mg N/L","Tukey","mean","1","5","NA",10.4,"2","5","NA",7.3,"0.05","1","timing_spring_V3","Preplant","spring applied (preplant) anhydrous ammonia (156 kg N/ha)","Early Season","side dress application of anhydrous ammonia (156 kg N/ha) at maize V3-V5 stage","Application Timing","Negative","assumed societal harm",NA,NA,NA,NA,-29.81,"Water Quality | Nutrient Runoff | Nitrate","Negative | assumed societal harm"
"513","Nutrient Management",137,"2002-3","2","1","Water Quality","Nutrient Runoff","Nitrate","flow-weighted nitrate concentration","in drainage tiles","NA","NA","mg N/L","Tukey","mean","1","5","NA",10.9,"2","5","NA",6,"ns","0","timing_spring_V3","Preplant","spring applied (preplant) anhydrous ammonia (156 kg N/ha)","Early Season","side dress application of anhydrous ammonia (156 kg N/ha) at maize V3-V5 stage","Application Timing","Negative","assumed societal harm",NA,NA,NA,NA,-44.95,"Water Quality | Nutrient Runoff | Nitrate","Negative | assumed societal harm"
"514","Nutrient Management",137,"2002-3","3","1","Water Quality","Nutrient Runoff","Nitrate","flow-weighted nitrate concentration","in drainage tiles","NA","NA","mg N/L","Tukey","mean","1","5","NA",7.3,"2","5","NA",6.6,"ns","0","timing_spring_V3","Preplant","spring applied (preplant) anhydrous ammonia (156 kg N/ha)","Early Season","side dress application of anhydrous ammonia (156 kg N/ha) at maize V3-V5 stage","Application Timing","Negative","assumed societal harm",NA,NA,NA,NA,-9.59,"Water Quality | Nutrient Runoff | Nitrate","Negative | assumed societal harm"
"515","Nutrient Management",137,"2002-3","1","1","Water Quality","Nutrient Runoff","Nitrate","annual nitrate load","in drainage tiles","NA","NA","mg N/L","Tukey","mean","1","5","NA",59.7,"2","5","NA",36.7,"ns","0","timing_spring_V3","Preplant","spring applied (preplant) anhydrous ammonia (156 kg N/ha)","Early Season","side dress application of anhydrous ammonia (156 kg N/ha) at maize V3-V5 stage","Application Timing","Negative","assumed societal harm",NA,NA,NA,NA,-38.53,"Water Quality | Nutrient Runoff | Nitrate","Negative | assumed societal harm"
"516","Nutrient Management",137,"2002-3","2","1","Water Quality","Nutrient Runoff","Nitrate","annual nitrate load","in drainage tiles","NA","NA","mg N/L","Tukey","mean","1","5","NA",15.2,"2","5","NA",7.5,"ns","0","timing_spring_V3","Preplant","spring applied (preplant) anhydrous ammonia (156 kg N/ha)","Early Season","side dress application of anhydrous ammonia (156 kg N/ha) at maize V3-V5 stage","Application Timing","Negative","assumed societal harm",NA,NA,NA,NA,-50.66,"Water Quality | Nutrient Runoff | Nitrate","Negative | assumed societal harm"
"517","Nutrient Management",137,"2002-3","3","1","Water Quality","Nutrient Runoff","Nitrate","annual nitrate load","in drainage tiles","NA","NA","mg N/L","Tukey","mean","1","5","NA",8,"2","5","NA",10.3,"ns","0","timing_spring_V3","Preplant","spring applied (preplant) anhydrous ammonia (156 kg N/ha)","Early Season","side dress application of anhydrous ammonia (156 kg N/ha) at maize V3-V5 stage","Application Timing","Negative","assumed societal harm",NA,NA,NA,NA,28.75,"Water Quality | Nutrient Runoff | Nitrate","Negative | assumed societal harm"
"518","Nutrient Management",137,"2002-3","1","1","Crop Yields","Grain Yields","Corn","maize grain yield","NA","NA","NA","Mg/ha","Tukey","mean","1","5","NA",8.5,"2","5","NA",8.9,"ns","0","timing_spring_V3","Preplant","spring applied (preplant) anhydrous ammonia (156 kg N/ha)","Early Season","side dress application of anhydrous ammonia (156 kg N/ha) at maize V3-V5 stage","Application Timing","Positive","assumed societal benefit",NA,NA,NA,NA,4.71,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"519","Nutrient Management",137,"2002-3","2","1","Crop Yields","Grain Yields","Corn","maize grain yield","NA","NA","NA","Mg/ha","Tukey","mean","1","5","NA",13.4,"2","5","NA",13.1,"ns","0","timing_spring_V3","Preplant","spring applied (preplant) anhydrous ammonia (156 kg N/ha)","Early Season","side dress application of anhydrous ammonia (156 kg N/ha) at maize V3-V5 stage","Application Timing","Positive","assumed societal benefit",NA,NA,NA,NA,-2.24,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"520","Nutrient Management",137,"2002-3","3","1","Crop Yields","Grain Yields","Corn","maize grain yield","NA","NA","NA","Mg/ha","Tukey","mean","1","5","NA",9.9,"2","5","NA",9.9,"ns","0","timing_spring_V3","Preplant","spring applied (preplant) anhydrous ammonia (156 kg N/ha)","Early Season","side dress application of anhydrous ammonia (156 kg N/ha) at maize V3-V5 stage","Application Timing","Positive","assumed societal benefit",NA,NA,NA,NA,0,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"521","Nutrient Management",137,"2002-3","1","1","Water Quality","Nutrient Runoff","Nitrate","yield-scaled nitrate load","NA","NA","NA","kg N/Mg","Tukey","mean","1","5","NA",7,"2","5","NA",4,"ns","0","timing_spring_V3","Preplant","spring applied (preplant) anhydrous ammonia (156 kg N/ha)","Early Season","side dress application of anhydrous ammonia (156 kg N/ha) at maize V3-V5 stage","Application Timing","Negative","assumed societal harm",NA,NA,NA,NA,-42.86,"Water Quality | Nutrient Runoff | Nitrate","Negative | assumed societal harm"
"522","Nutrient Management",137,"2002-3","2","1","Water Quality","Nutrient Runoff","Nitrate","yield-scaled nitrate load","NA","NA","NA","kg N/Mg","Tukey","mean","1","5","NA",1.1,"2","5","NA",0.6,"ns","0","timing_spring_V3","Preplant","spring applied (preplant) anhydrous ammonia (156 kg N/ha)","Early Season","side dress application of anhydrous ammonia (156 kg N/ha) at maize V3-V5 stage","Application Timing","Negative","assumed societal harm",NA,NA,NA,NA,-45.45,"Water Quality | Nutrient Runoff | Nitrate","Negative | assumed societal harm"
"523","Nutrient Management",137,"2002-3","3","1","Water Quality","Nutrient Runoff","Nitrate","yield-scaled nitrate load","NA","NA","NA","kg N/Mg","Tukey","mean","1","5","NA",0.8,"2","5","NA",1,"ns","0","timing_spring_V3","Preplant","spring applied (preplant) anhydrous ammonia (156 kg N/ha)","Early Season","side dress application of anhydrous ammonia (156 kg N/ha) at maize V3-V5 stage","Application Timing","Negative","assumed societal harm",NA,NA,NA,NA,25,"Water Quality | Nutrient Runoff | Nitrate","Negative | assumed societal harm"
"524","Nutrient Management",137,"2002-3","1","1","Water Quality","Nutrient Runoff","Nitrate","yield-scaled nitrate concentration","NA","NA","NA","mg N/L/Mg","Tukey","mean","1","5","NA",1.2,"2","5","NA",0.8,"0.05","1","timing_spring_V3","Preplant","spring applied (preplant) anhydrous ammonia (156 kg N/ha)","Early Season","side dress application of anhydrous ammonia (156 kg N/ha) at maize V3-V5 stage","Application Timing","Negative","assumed societal harm",NA,NA,NA,NA,-33.33,"Water Quality | Nutrient Runoff | Nitrate","Negative | assumed societal harm"
"525","Nutrient Management",137,"2002-3","2","1","Water Quality","Nutrient Runoff","Nitrate","yield-scaled nitrate concentration","NA","NA","NA","mg N/L/Mg","Tukey","mean","1","5","NA",0.8,"2","5","NA",0.5,"ns","0","timing_spring_V3","Preplant","spring applied (preplant) anhydrous ammonia (156 kg N/ha)","Early Season","side dress application of anhydrous ammonia (156 kg N/ha) at maize V3-V5 stage","Application Timing","Negative","assumed societal harm",NA,NA,NA,NA,-37.5,"Water Quality | Nutrient Runoff | Nitrate","Negative | assumed societal harm"
"526","Nutrient Management",137,"2002-3","3","1","Water Quality","Nutrient Runoff","Nitrate","yield-scaled nitrate concentration","NA","NA","NA","mg N/L/Mg","Tukey","mean","1","5","NA",0.7,"2","5","NA",0.7,"ns","0","timing_spring_V3","Preplant","spring applied (preplant) anhydrous ammonia (156 kg N/ha)","Early Season","side dress application of anhydrous ammonia (156 kg N/ha) at maize V3-V5 stage","Application Timing","Negative","assumed societal harm",NA,NA,NA,NA,0,"Water Quality | Nutrient Runoff | Nitrate","Negative | assumed societal harm"
"527","Nutrient Management",137,"2002-3","1","1","Soil Nutrients","Nitrate","Late Season","soil nitrate content","NA","0-120 cm","0-60 cm","kg NO~3~-N/ha","Tukey","mean","1","5","NA",67,"2","5","NA",117.6,"0.1","1","timing_spring_V3","Preplant","spring applied (preplant) anhydrous ammonia (156 kg N/ha)","Early Season","side dress application of anhydrous ammonia (156 kg N/ha) at maize V3-V5 stage","Application Timing","Dependent on other factors","dependent on other factors",NA,NA,NA,NA,75.52,"Soil Nutrients | Nitrate | Late Season","Dependent on other factors | dependent on other factors"
"528","Nutrient Management",137,"2002-3","2","1","Soil Nutrients","Nitrate","Late Season","soil nitrate content","NA","0-120 cm","0-60 cm","kg NO~3~-N/ha","Tukey","mean","1","5","NA",63.9,"2","5","NA",52.8,"ns","0","timing_spring_V3","Preplant","spring applied (preplant) anhydrous ammonia (156 kg N/ha)","Early Season","side dress application of anhydrous ammonia (156 kg N/ha) at maize V3-V5 stage","Application Timing","Dependent on other factors","dependent on other factors",NA,NA,NA,NA,-17.37,"Soil Nutrients | Nitrate | Late Season","Dependent on other factors | dependent on other factors"
"529","Nutrient Management",137,"2002-3","3","1","Soil Nutrients","Nitrate","Late Season","soil nitrate content","NA","0-120 cm","0-60 cm","kg NO~3~-N/ha","Tukey","mean","1","5","NA",53.1,"2","5","NA",76.5,"0.1","1","timing_spring_V3","Preplant","spring applied (preplant) anhydrous ammonia (156 kg N/ha)","Early Season","side dress application of anhydrous ammonia (156 kg N/ha) at maize V3-V5 stage","Application Timing","Dependent on other factors","dependent on other factors",NA,NA,NA,NA,44.07,"Soil Nutrients | Nitrate | Late Season","Dependent on other factors | dependent on other factors"
"530","Nutrient Management",138,"1986-2","1","1","Crop Yields","Grain Yields","Corn","maize grain yield","NA","NA","NA","bu/ac","ANOVA","mean","0","NA","NA",126,"1","NA","NA",136,"0.05","1","preplant_V6","Preplant","25-175 lb/acre preplant and 0 lb/acre sidedress at V6 growth stage","Early Season","0 lb/acre preplant and 25-175 lb/acre sidedress at V6 growth stage","Application Timing","Positive","assumed societal benefit",NA,NA,NA,NA,7.94,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"531","Nutrient Management",3008,"2014-2","1;2","1;2;5","Crop Yields","Plant Nutrient Content","Corn Nitrogen Use Efficiency","agronomic efficiency of corn","site-year group 1","NA","NA","kg/kg","Pdiff","mean","1","NA","NA",40.8,"2","NA","NA",44.2,"ns","0","split_plantV4_plantV6","Split Application","45 kg N/ha band applied on soil surface at planting followed by 90 kg N/ha at V4 stage","Split Application","45 kg N/ha band applied on soil surface at planting followed by 90 kg N/ha at V6 stage","Application Timing","Positive","assumed societal benefit",NA,NA,NA,NA,8.33,"Crop Yields | Plant Nutrient Content | Corn Nitrogen Use Efficiency","Positive | assumed societal benefit"
"532","Nutrient Management",3008,"2014-2","1;2","1;2;5","Crop Yields","Plant Nutrient Content","Corn Nitrogen Use Efficiency","agronomic efficiency of corn","site-year group 1","NA","NA","kg/kg","Pdiff","mean","1","NA","NA",40.8,"3","NA","NA",45.3,"ns","0","split_plantV4_plantV8","Split Application","45 kg N/ha band applied on soil surface at planting followed by 90 kg N/ha at V4 stage","Split Application","45 kg N/ha band applied on soil surface at planting followed by 90 kg N/ha at V8 stage","Application Timing","Positive","assumed societal benefit",NA,NA,NA,NA,11.03,"Crop Yields | Plant Nutrient Content | Corn Nitrogen Use Efficiency","Positive | assumed societal benefit"
"533","Nutrient Management",138,"1986-2","1","2","Crop Yields","Grain Yields","Corn","maize grain yield","NA","NA","NA","bu/ac","ANOVA","mean","0","NA","NA",149,"1","NA","NA",150,"ns","0","preplant_V6","Preplant","25-175 lb/acre preplant and 0 lb/acre sidedress at V6 growth stage","Early Season","0 lb/acre preplant and 25-175 lb/acre sidedress at V6 growth stage","Application Timing","Positive","assumed societal benefit",NA,NA,NA,NA,0.67,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"534","Nutrient Management",3008,"2014-2","1;2","1;2;5","Crop Yields","Plant Nutrient Content","Corn Nitrogen Use Efficiency","agronomic efficiency of corn","site-year group 1","NA","NA","kg/kg","Pdiff","mean","1","NA","NA",40.8,"4","NA","NA",45.8,"ns","0","split_plantV4_plantV12","Split Application","45 kg N/ha band applied on soil surface at planting followed by 90 kg N/ha at V4 stage","Split Application","45 kg N/ha band applied on soil surface at planting followed by 90 kg N/ha at V12 stage","Application Timing","Positive","assumed societal benefit",NA,NA,NA,NA,12.25,"Crop Yields | Plant Nutrient Content | Corn Nitrogen Use Efficiency","Positive | assumed societal benefit"
"535","Nutrient Management",3008,"2014-2","1;2","1;2;5","Crop Yields","Plant Nutrient Content","Corn Nitrogen Use Efficiency","agronomic efficiency of corn","site-year group 1","NA","NA","kg/kg","Pdiff","mean","2","NA","NA",44.2,"3","NA","NA",45.3,"ns","0","split_plantV6_plantV8","Split Application","45 kg N/ha band applied on soil surface at planting followed by 90 kg N/ha at V6 stage","Split Application","45 kg N/ha band applied on soil surface at planting followed by 90 kg N/ha at V8 stage","Application Timing","Positive","assumed societal benefit",NA,NA,NA,NA,2.49,"Crop Yields | Plant Nutrient Content | Corn Nitrogen Use Efficiency","Positive | assumed societal benefit"
"536","Nutrient Management",138,"1986-2","2","1","Crop Yields","Grain Yields","Corn","maize grain yield","NA","NA","NA","bu/ac","ANOVA","mean","0","NA","NA",106,"1","NA","NA",110,"ns","0","preplant_V6","Preplant","25 lb/acre preplant and 0 lb/acre sidedress at V6 growth stage","Early Season","0 lb/acre preplant and 25 lb/acre sidedress at V6 growth stage","Application Timing","Positive","assumed societal benefit",NA,NA,NA,NA,3.77,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"537","Nutrient Management",3008,"2014-2","1;2","1;2;5","Crop Yields","Plant Nutrient Content","Corn Nitrogen Use Efficiency","agronomic efficiency of corn","site-year group 1","NA","NA","kg/kg","Pdiff","mean","2","NA","NA",44.2,"4","NA","NA",45.8,"ns","0","split_plantV6_plantV12","Split Application","45 kg N/ha band applied on soil surface at planting followed by 90 kg N/ha at V6 stage","Split Application","45 kg N/ha band applied on soil surface at planting followed by 90 kg N/ha at V12 stage","Application Timing","Positive","assumed societal benefit",NA,NA,NA,NA,3.62,"Crop Yields | Plant Nutrient Content | Corn Nitrogen Use Efficiency","Positive | assumed societal benefit"
"538","Nutrient Management",3008,"2014-2","1;2","1;2;5","Crop Yields","Plant Nutrient Content","Corn Nitrogen Use Efficiency","agronomic efficiency of corn","site-year group 1","NA","NA","kg/kg","Pdiff","mean","3","NA","NA",45.3,"4","NA","NA",45.8,"ns","0","split_plantV8_plantV12","Split Application","45 kg N/ha band applied on soil surface at planting followed by 90 kg N/ha at V8 stage","Split Application","45 kg N/ha band applied on soil surface at planting followed by 90 kg N/ha at V12 stage","Application Timing","Positive","assumed societal benefit",NA,NA,NA,NA,1.1,"Crop Yields | Plant Nutrient Content | Corn Nitrogen Use Efficiency","Positive | assumed societal benefit"
"539","Nutrient Management",138,"1986-2","2","2","Crop Yields","Grain Yields","Corn","maize grain yield","NA","NA","NA","bu/ac","ANOVA","mean","0","NA","NA",99,"1","NA","NA",97,"ns","0","preplant_V6","Preplant","25 lb/acre preplant and 0 lb/acre sidedress at V6 growth stage","Early Season","0 lb/acre preplant and 25 lb/acre sidedress at V6 growth stage","Application Timing","Positive","assumed societal benefit",NA,NA,NA,NA,-2.02,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"540","Nutrient Management",3008,"2014-2","1;2","7;3;6;4","Crop Yields","Plant Nutrient Content","Corn Nitrogen Use Efficiency","agronomic efficiency of corn","site-year group 2","NA","NA","kg/kg","Pdiff","mean","0","NA","NA",31.4,"1","NA","NA",27.9,"ns","0","split_plantV2_plantV4","Split Application","45 kg N/ha band applied on soil surface at planting followed by 90 kg N/ha at V2 stage","Split Application","45 kg N/ha band applied on soil surface at planting followed by 90 kg N/ha at V4 stage","Application Timing","Positive","assumed societal benefit",NA,NA,NA,NA,-11.15,"Crop Yields | Plant Nutrient Content | Corn Nitrogen Use Efficiency","Positive | assumed societal benefit"
"541","Nutrient Management",3008,"2014-2","1;2","7;3;6;4","Crop Yields","Plant Nutrient Content","Corn Nitrogen Use Efficiency","agronomic efficiency of corn","site-year group 2","NA","NA","kg/kg","Pdiff","mean","0","NA","NA",31.4,"2","NA","NA",31.1,"ns","0","split_plantV2_plantV6","Split Application","45 kg N/ha band applied on soil surface at planting followed by 90 kg N/ha at V2 stage","Split Application","45 kg N/ha band applied on soil surface at planting followed by 90 kg N/ha at V6 stage","Application Timing","Positive","assumed societal benefit",NA,NA,NA,NA,-0.96,"Crop Yields | Plant Nutrient Content | Corn Nitrogen Use Efficiency","Positive | assumed societal benefit"
"542","Nutrient Management",140,"1986-3","1","1","Crop Yields","Grain Yields","Corn","maize grain yield","early planting","NA","NA","Mg/ha","LSD","mean","1","NA","NA",10.2,"4","NA","NA",9.8,"ns","0","timing_preplant_splitV4","Preplant","early maize planting fertilized with preplant nitrogen (112 kg N/ha)","Early Season","early maize planting fertilzed with split nitrogen application (56 kg N/ha at preplant and 56 kg N/ha V4-6 stage)","Application Timing","Positive","assumed societal benefit",NA,NA,NA,NA,-3.92,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
