,Review,group_level1,group_level2,group_level3,norm_interp2,norm_interp3,group_level1_alt,group_level2_alt,norm_interp2_alt,norm_interp3_alt
131,Continuous Cover,Crop Yields,Plant Nutrient Content,Corn Phosphorus Use Efficiency,Positive,assumed societal benefit,NA,NA,NA,NA
132,Tillage,Crop Yields,Plant Nutrient Content,Corn Phosphorus Use Efficiency,Positive,assumed societal benefit,NA,NA,NA,NA
554,Nutrient Amendment,Crop Yields,Plant Nutrient Content,Corn Phosphorus Use Efficiency,Positive,assumed societal benefit,NA,NA,NA,NA
133,Continuous Cover,Crop Yields,Plant Nutrient Content,Corn Root Nitrogen Content,Positive,assumed societal benefit,NA,NA,NA,NA
134,Tillage,Crop Yields,Plant Nutrient Content,Corn Root Nitrogen Content,Positive,assumed societal benefit,NA,NA,NA,NA
555,Nutrient Amendment,Crop Yields,Plant Nutrient Content,Corn Root Nitrogen Content,Positive,assumed societal benefit,NA,NA,NA,NA
135,Continuous Cover,Crop Yields,Plant Nutrient Content,Corn Stalk Micro-Nutrient Content,Positive,assumed societal benefit,NA,NA,NA,NA
136,Tillage,Crop Yields,Plant Nutrient Content,Corn Stalk Micro-Nutrient Content,Positive,assumed societal benefit,NA,NA,NA,NA
556,Nutrient Amendment,Crop Yields,Plant Nutrient Content,Corn Stalk Micro-Nutrient Content,Positive,assumed societal benefit,NA,NA,NA,NA
137,Continuous Cover,Crop Yields,Plant Nutrient Content,Corn Stalk Nitrogen Content,Positive,assumed societal benefit,NA,NA,NA,NA
138,Tillage,Crop Yields,Plant Nutrient Content,Corn Stalk Nitrogen Content,Positive,assumed societal benefit,NA,NA,NA,NA
557,Nutrient Amendment,Crop Yields,Plant Nutrient Content,Corn Stalk Nitrogen Content,Positive,assumed societal benefit,NA,NA,NA,NA
139,Continuous Cover,Crop Yields,Plant Nutrient Content,Corn Stalk Phosphorus Content,Positive,assumed societal benefit,NA,NA,NA,NA
140,Tillage,Crop Yields,Plant Nutrient Content,Corn Stalk Phosphorus Content,Positive,assumed societal benefit,NA,NA,NA,NA
558,Nutrient Amendment,Crop Yields,Plant Nutrient Content,Corn Stalk Phosphorus Content,Positive,assumed societal benefit,NA,NA,NA,NA
141,Continuous Cover,Crop Yields,Plant Nutrient Content,Corn-Soybean Nitrogen Use Efficiency,Positive,assumed societal benefit,NA,NA,NA,NA
559,Nutrient Amendment,Crop Yields,Plant Nutrient Content,Corn-Soybean Nitrogen Use Efficiency,Positive,assumed societal benefit,NA,NA,NA,NA
142,Continuous Cover,Crop Yields,Plant Nutrient Content,Crop Carbon Content,Positive,dependent on other factors,NA,NA,NA,NA
560,Nutrient Amendment,Crop Yields,Plant Nutrient Content,Crop Carbon Content,Positive,dependent on other factors,NA,NA,NA,NA
143,Continuous Cover,Crop Yields,Plant Nutrient Content,Crop Light Use Efficiency,Positive,assumed societal benefit,NA,NA,NA,NA
561,Nutrient Amendment,Crop Yields,Plant Nutrient Content,Crop Light Use Efficiency,Positive,assumed societal benefit,NA,NA,NA,NA
144,Continuous Cover,Crop Yields,Plant Nutrient Content,Crop Lignin Content,Positive,dependent on other factors,NA,NA,NA,NA
562,Nutrient Amendment,Crop Yields,Plant Nutrient Content,Crop Lignin Content,Positive,dependent on other factors,NA,NA,NA,NA
145,Continuous Cover,Crop Yields,Plant Nutrient Content,Crop Micro-Nutrient Content,Positive,assumed societal benefit,NA,NA,NA,NA
563,Nutrient Amendment,Crop Yields,Plant Nutrient Content,Crop Micro-Nutrient Content,Positive,assumed societal benefit,NA,NA,NA,NA
146,Continuous Cover,Crop Yields,Plant Nutrient Content,Crop Nitrogen Content,Positive,assumed societal benefit,NA,NA,NA,NA
439,Nutrient Amendment,Crop Yields,Plant Nutrient Content,Crop Nitrogen Content,Positive,assumed societal benefit,NA,NA,NA,NA
147,Continuous Cover,Crop Yields,Plant Nutrient Content,Crop Nitrogen Use Efficiency,Positive,assumed societal benefit,NA,NA,NA,NA
148,Tillage,Crop Yields,Plant Nutrient Content,Crop Nitrogen Use Efficiency,Positive,assumed societal benefit,NA,NA,NA,NA
448,Nutrient Amendment,Crop Yields,Plant Nutrient Content,Crop Nitrogen Use Efficiency,Positive,assumed societal benefit,NA,NA,NA,NA
149,Continuous Cover,Crop Yields,Plant Nutrient Content,Crop Phosphorus Content,Positive,assumed societal benefit,NA,NA,NA,NA
150,Tillage,Crop Yields,Plant Nutrient Content,Crop Phosphorus Content,Positive,assumed societal benefit,NA,NA,NA,NA
473,Nutrient Amendment,Crop Yields,Plant Nutrient Content,Crop Phosphorus Content,Positive,assumed societal benefit,NA,NA,NA,NA
438,Nutrient Amendment,Crop Yields,Plant Nutrient Content,Crop Nitrogen Content,Positive,assumed societal benefit,NA,NA,NA,NA
474,Nutrient Amendment,Crop Yields,Plant Nutrient Content,Crop Potassium Content,Positive,assumed societal benefit,NA,NA,NA,NA
446,Nutrient Amendment,Crop Yields,Plant Nutrient Content,Crop Phosphorus Content,Positive,assumed societal benefit,NA,NA,NA,NA
151,Continuous Cover,Crop Yields,Plant Nutrient Content,Root Nitrogen Content,Positive,assumed societal benefit,NA,NA,NA,NA
564,Nutrient Amendment,Crop Yields,Plant Nutrient Content,Root Nitrogen Content,Positive,assumed societal benefit,NA,NA,NA,NA
152,Continuous Cover,Crop Yields,Plant Nutrient Content,Soybean Phosphorus Use Efficiency,Positive,assumed societal benefit,NA,NA,NA,NA
153,Tillage,Crop Yields,Plant Nutrient Content,Soybean Phosphorus Use Efficiency,Positive,assumed societal benefit,NA,NA,NA,NA
565,Nutrient Amendment,Crop Yields,Plant Nutrient Content,Soybean Phosphorus Use Efficiency,Positive,assumed societal benefit,NA,NA,NA,NA
154,Continuous Cover,Crop Yields,Plant Nutrient Content,Soybean Tissue Nitrogen Content,Positive,assumed societal benefit,NA,NA,NA,NA
155,Tillage,Crop Yields,Plant Nutrient Content,Soybean Tissue Nitrogen Content,Positive,assumed societal benefit,NA,NA,NA,NA
566,Nutrient Amendment,Crop Yields,Plant Nutrient Content,Soybean Tissue Nitrogen Content,Positive,assumed societal benefit,NA,NA,NA,NA
156,Continuous Cover,Crop Yields,Plant Nutrient Content,Soybean Tissue Phosphorus Content,Positive,assumed societal benefit,NA,NA,NA,NA
567,Nutrient Amendment,Crop Yields,Plant Nutrient Content,Soybean Tissue Phosphorus Content,Positive,assumed societal benefit,NA,NA,NA,NA
157,Continuous Cover,Crop Yields,Stand Count,Corn,Positive,assumed societal benefit,NA,NA,NA,NA
158,Tillage,Crop Yields,Stand Count,Corn,Positive,assumed societal benefit,NA,NA,NA,NA
568,Nutrient Amendment,Crop Yields,Stand Count,Corn,Positive,assumed societal benefit,NA,NA,NA,NA
472,Nutrient Amendment,Crop Yields,Stand Count,Crop,Positive,assumed societal benefit,NA,NA,NA,NA
159,Continuous Cover,Crop Yields,Stand Count,Soybean,Positive,assumed societal benefit,NA,NA,NA,NA
160,Tillage,Crop Yields,Stand Count,Soybean,Positive,assumed societal benefit,NA,NA,NA,NA
569,Nutrient Amendment,Crop Yields,Stand Count,Soybean,Positive,assumed societal benefit,NA,NA,NA,NA
161,Continuous Cover,Crop Yields,Water Use,Corn,Negative,assumed societal harm,NA,NA,NA,NA
162,Tillage,Crop Yields,Water Use,Corn,Negative,assumed societal harm,NA,NA,NA,NA
570,Nutrient Amendment,Crop Yields,Water Use,Corn,Negative,assumed societal harm,NA,NA,NA,NA
163,Continuous Cover,Crop Yields,Water Use,Crop,Negative,assumed societal harm,NA,NA,NA,NA
164,Tillage,Crop Yields,Water Use,Crop,Negative,assumed societal harm,NA,NA,NA,NA
571,Nutrient Amendment,Crop Yields,Water Use,Crop,Negative,assumed societal harm,NA,NA,NA,NA
165,Continuous Cover,Crop Yields,Water Use,Soybean,Negative,assumed societal harm,NA,NA,NA,NA
166,Tillage,Crop Yields,Water Use,Soybean,Negative,assumed societal harm,NA,NA,NA,NA
572,Nutrient Amendment,Crop Yields,Water Use,Soybean,Negative,assumed societal harm,NA,NA,NA,NA
167,Continuous Cover,Crop Yields,Yields,Beans,Positive,assumed societal benefit,NA,NA,NA,NA
168,Tillage,Crop Yields,Yields,Beans,Positive,assumed societal benefit,NA,NA,NA,NA
451,Nutrient Amendment,Crop Yields,Yields,Beans,Positive,assumed societal benefit,NA,NA,NA,NA
169,Continuous Cover,Crop Yields,Yields,Maize,Positive,assumed societal benefit,NA,NA,NA,NA
170,Tillage,Crop Yields,Yields,Maize,Positive,assumed societal benefit,NA,NA,NA,NA
418,Nutrient Amendment,Crop Yields,Yields,Maize,Positive,assumed societal benefit,NA,NA,NA,NA
171,Continuous Cover,Crop Yields,Yields,Potato,Positive,assumed societal benefit,NA,NA,NA,NA
573,Nutrient Amendment,Crop Yields,Yields,Potato,Positive,assumed societal benefit,NA,NA,NA,NA
172,Continuous Cover,Crop Yields,Yields,Potato (Ler),Positive,assumed societal benefit,NA,NA,NA,NA
574,Nutrient Amendment,Crop Yields,Yields,Potato (Ler),Positive,assumed societal benefit,NA,NA,NA,NA
173,Continuous Cover,Crop Yields,Yields,Soybean,Positive,assumed societal benefit,NA,NA,NA,NA
174,Tillage,Crop Yields,Yields,Soybean,Positive,assumed societal benefit,NA,NA,NA,NA
419,Nutrient Amendment,Crop Yields,Yields,Soybean,Positive,assumed societal benefit,NA,NA,NA,NA
175,Continuous Cover,Economics,Expenses,Labor,Negative,assumed societal harm,NA,NA,NA,NA
176,Tillage,Economics,Expenses,Labor,Negative,assumed societal harm,NA,NA,NA,NA
575,Nutrient Amendment,Economics,Expenses,Labor,Negative,assumed societal harm,NA,NA,NA,NA
177,Continuous Cover,Economics,Expenses,Total Costs,Negative,assumed societal harm,NA,NA,NA,NA
178,Tillage,Economics,Expenses,Total Costs,Negative,assumed societal harm,NA,NA,NA,NA
576,Nutrient Amendment,Economics,Expenses,Total Costs,Negative,assumed societal harm,NA,NA,NA,NA
179,Continuous Cover,Economics,Income,Marginal Rate Of Return,Positive,assumed societal benefit,NA,NA,NA,NA
180,Tillage,Economics,Income,Marginal Rate Of Return,Positive,assumed societal benefit,NA,NA,NA,NA
577,Nutrient Amendment,Economics,Income,Marginal Rate Of Return,Positive,assumed societal benefit,NA,NA,NA,NA
181,Continuous Cover,Economics,Income,Net Income,Positive,assumed societal benefit,NA,NA,NA,NA
182,Tillage,Economics,Income,Net Income,Positive,assumed societal benefit,NA,NA,NA,NA
578,Nutrient Amendment,Economics,Income,Net Income,Positive,assumed societal benefit,NA,NA,NA,NA
183,Continuous Cover,Economics,Yields,Pest Damage,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
579,Nutrient Amendment,Economics,Yields,Pest Damage,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
184,Continuous Cover,Other Soil Properties,Abiotic Factors,Evapotranspiration,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
185,Tillage,Other Soil Properties,Abiotic Factors,Evapotranspiration,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
580,Nutrient Amendment,Other Soil Properties,Abiotic Factors,Evapotranspiration,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
186,Continuous Cover,Other Soil Properties,Abiotic Factors,Light Intensity,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
581,Nutrient Amendment,Other Soil Properties,Abiotic Factors,Light Intensity,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
187,Continuous Cover,Other Soil Properties,Abiotic Factors,Moisture Content,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
188,Tillage,Other Soil Properties,Abiotic Factors,Moisture Content,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
450,Nutrient Amendment,Other Soil Properties,Abiotic Factors,Moisture Content,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
189,Continuous Cover,Other Soil Properties,Abiotic Factors,Soil Moisture,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
582,Nutrient Amendment,Other Soil Properties,Abiotic Factors,Soil Moisture,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
190,Continuous Cover,Other Soil Properties,Abiotic Factors,Soil Temperature,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
191,Tillage,Other Soil Properties,Abiotic Factors,Soil Temperature,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
452,Nutrient Amendment,Other Soil Properties,Abiotic Factors,Soil Temperature,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
192,Continuous Cover,Other Soil Properties,Abiotic Factors,Temperature,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
193,Tillage,Other Soil Properties,Abiotic Factors,Temperature,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
583,Nutrient Amendment,Other Soil Properties,Abiotic Factors,Temperature,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
194,Continuous Cover,Other Soil Properties,Biotic Factors,Carbon Decomposition Rate In Buried Residues,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
195,Tillage,Other Soil Properties,Biotic Factors,Carbon Decomposition Rate In Buried Residues,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
584,Nutrient Amendment,Other Soil Properties,Biotic Factors,Carbon Decomposition Rate In Buried Residues,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
196,Continuous Cover,Other Soil Properties,Biotic Factors,Carbon Dioxide,Dependent on other factors,dependent on other factors,Climate Mitigation,Carbon Emissions,Negative,dependent on other factors
197,Tillage,Other Soil Properties,Biotic Factors,Carbon Dioxide,Dependent on other factors,dependent on other factors,Climate Mitigation,Carbon Emissions,Negative,dependent on other factors
585,Nutrient Amendment,Other Soil Properties,Biotic Factors,Carbon Dioxide,Dependent on other factors,dependent on other factors,Climate Mitigation,Carbon Emissions,Negative,dependent on other factors
198,Continuous Cover,Other Soil Properties,Biotic Factors,Corn Mycorrhizal Colonization,Positive,assumed societal benefit,NA,NA,NA,NA
199,Tillage,Other Soil Properties,Biotic Factors,Corn Mycorrhizal Colonization,Positive,assumed societal benefit,NA,NA,NA,NA
586,Nutrient Amendment,Other Soil Properties,Biotic Factors,Corn Mycorrhizal Colonization,Positive,assumed societal benefit,NA,NA,NA,NA
200,Continuous Cover,Other Soil Properties,Biotic Factors,Decomposition Rate Of Buried Residue,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
587,Nutrient Amendment,Other Soil Properties,Biotic Factors,Decomposition Rate Of Buried Residue,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
201,Continuous Cover,Other Soil Properties,Biotic Factors,Decomposition Rate Of Surface Residues,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
202,Tillage,Other Soil Properties,Biotic Factors,Decomposition Rate Of Surface Residues,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
588,Nutrient Amendment,Other Soil Properties,Biotic Factors,Decomposition Rate Of Surface Residues,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
203,Continuous Cover,Other Soil Properties,Biotic Factors,Enzyme Activity,Positive,assumed societal benefit,NA,NA,NA,NA
204,Tillage,Other Soil Properties,Biotic Factors,Enzyme Activity,Positive,assumed societal benefit,NA,NA,NA,NA
589,Nutrient Amendment,Other Soil Properties,Biotic Factors,Enzyme Activity,Positive,assumed societal benefit,NA,NA,NA,NA
205,Continuous Cover,Other Soil Properties,Biotic Factors,Fungal Abundance,Positive,assumed societal benefit,NA,NA,NA,NA
206,Tillage,Other Soil Properties,Biotic Factors,Fungal Abundance,Positive,assumed societal benefit,NA,NA,NA,NA
590,Nutrient Amendment,Other Soil Properties,Biotic Factors,Fungal Abundance,Positive,assumed societal benefit,NA,NA,NA,NA
207,Continuous Cover,Other Soil Properties,Biotic Factors,Fungal Biomass,Positive,assumed societal benefit,NA,NA,NA,NA
208,Tillage,Other Soil Properties,Biotic Factors,Fungal Biomass,Positive,assumed societal benefit,NA,NA,NA,NA
591,Nutrient Amendment,Other Soil Properties,Biotic Factors,Fungal Biomass,Positive,assumed societal benefit,NA,NA,NA,NA
209,Continuous Cover,Other Soil Properties,Biotic Factors,Methane Oxidation,Dependent on other factors,Dependent on other factors,NA,NA,NA,NA
210,Tillage,Other Soil Properties,Biotic Factors,Methane Oxidation,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
592,Nutrient Amendment,Other Soil Properties,Biotic Factors,Methane Oxidation,Dependent on other factors,Dependent on other factors,NA,NA,NA,NA
593,Nutrient Amendment,Other Soil Properties,Biotic Factors,Methane Oxidation,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
211,Continuous Cover,Other Soil Properties,Biotic Factors,Microbial Biomass,Positive,assumed societal benefit,NA,NA,NA,NA
212,Tillage,Other Soil Properties,Biotic Factors,Microbial Biomass,Positive,assumed societal benefit,NA,NA,NA,NA
594,Nutrient Amendment,Other Soil Properties,Biotic Factors,Microbial Biomass,Positive,assumed societal benefit,NA,NA,NA,NA
213,Continuous Cover,Other Soil Properties,Biotic Factors,Microbial Diversity,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
214,Tillage,Other Soil Properties,Biotic Factors,Microbial Diversity,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
595,Nutrient Amendment,Other Soil Properties,Biotic Factors,Microbial Diversity,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
215,Continuous Cover,Other Soil Properties,Biotic Factors,Microbial Residues,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
596,Nutrient Amendment,Other Soil Properties,Biotic Factors,Microbial Residues,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
216,Continuous Cover,Other Soil Properties,Biotic Factors,Nitrogen Decomposition Rate In Buried Residues,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
217,Tillage,Other Soil Properties,Biotic Factors,Nitrogen Decomposition Rate In Buried Residues,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
597,Nutrient Amendment,Other Soil Properties,Biotic Factors,Nitrogen Decomposition Rate In Buried Residues,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
218,Continuous Cover,Other Soil Properties,Biotic Factors,Phosphorous Decomposition Rate In Buried Residues,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
219,Tillage,Other Soil Properties,Biotic Factors,Phosphorous Decomposition Rate In Buried Residues,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
598,Nutrient Amendment,Other Soil Properties,Biotic Factors,Phosphorous Decomposition Rate In Buried Residues,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
220,Continuous Cover,Other Soil Properties,Biotic Factors,Soybean Mycorrhizal Colonization,Positive,assumed societal benefit,NA,NA,NA,NA
221,Tillage,Other Soil Properties,Biotic Factors,Soybean Mycorrhizal Colonization,Positive,assumed societal benefit,NA,NA,NA,NA
599,Nutrient Amendment,Other Soil Properties,Biotic Factors,Soybean Mycorrhizal Colonization,Positive,assumed societal benefit,NA,NA,NA,NA
222,Continuous Cover,Other Soil Properties,Chemical Properties,Calcium,Dependent on other factors,assumed societal benefit,NA,NA,NA,NA
223,Tillage,Other Soil Properties,Chemical Properties,Calcium,Dependent on other factors,assumed societal benefit,NA,NA,NA,NA
600,Nutrient Amendment,Other Soil Properties,Chemical Properties,Calcium,Dependent on other factors,assumed societal benefit,NA,NA,NA,NA
224,Continuous Cover,Other Soil Properties,Chemical Properties,CEC,Dependent on other factors,assumed societal benefit,NA,NA,NA,NA
225,Tillage,Other Soil Properties,Chemical Properties,CEC,Dependent on other factors,assumed societal benefit,NA,NA,NA,NA
601,Nutrient Amendment,Other Soil Properties,Chemical Properties,CEC,Dependent on other factors,assumed societal benefit,NA,NA,NA,NA
226,Continuous Cover,Other Soil Properties,Chemical Properties,Labile Carbon,Dependent on other factors,assumed societal benefit,NA,NA,NA,NA
227,Tillage,Other Soil Properties,Chemical Properties,Labile Carbon,Dependent on other factors,assumed societal benefit,NA,NA,NA,NA
602,Nutrient Amendment,Other Soil Properties,Chemical Properties,Labile Carbon,Dependent on other factors,assumed societal benefit,NA,NA,NA,NA
228,Continuous Cover,Other Soil Properties,Chemical Properties,Natural Abundance of 13C,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
229,Tillage,Other Soil Properties,Chemical Properties,Natural Abundance of 13C,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
603,Nutrient Amendment,Other Soil Properties,Chemical Properties,Natural Abundance of 13C,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
230,Continuous Cover,Other Soil Properties,Chemical Properties,Pesticide Retention,Dependent on other factors,assumed societal harm,NA,NA,NA,NA
231,Tillage,Other Soil Properties,Chemical Properties,Pesticide Retention,Dependent on other factors,assumed societal harm,NA,NA,NA,NA
604,Nutrient Amendment,Other Soil Properties,Chemical Properties,Pesticide Retention,Dependent on other factors,assumed societal harm,NA,NA,NA,NA
232,Continuous Cover,Other Soil Properties,Chemical Properties,pH,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
233,Tillage,Other Soil Properties,Chemical Properties,pH,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
429,Nutrient Amendment,Other Soil Properties,Chemical Properties,pH,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
234,Continuous Cover,Other Soil Properties,Chemical Properties,Soil Organic Matter Content,Dependent on other factors,assumed societal benefit,Climate Mitigation,Carbon Storage,Positive,assumed societal benefit
235,Tillage,Other Soil Properties,Chemical Properties,Soil Organic Matter Content,Dependent on other factors,assumed societal benefit,Climate Mitigation,Carbon Storage,Positive,assumed societal benefit
471,Nutrient Amendment,Other Soil Properties,Chemical Properties,Soil Organic Matter Content,Dependent on other factors,assumed societal benefit,Climate Mitigation,Carbon Storage,Positive,assumed societal benefit
236,Continuous Cover,Other Soil Properties,Physical Properties,Bulk Density,Dependent on other factors,assumed societal harm,Other Soil Properties,Soil Structure,Positive,assumed societal harm
237,Tillage,Other Soil Properties,Physical Properties,Bulk Density,Dependent on other factors,assumed societal harm,Other Soil Properties,Soil Structure,Positive,assumed societal harm
605,Nutrient Amendment,Other Soil Properties,Physical Properties,Bulk Density,Dependent on other factors,assumed societal harm,Other Soil Properties,Soil Structure,Positive,assumed societal harm
238,Continuous Cover,Other Soil Properties,Physical Properties,Clay Content,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
239,Tillage,Other Soil Properties,Physical Properties,Clay Content,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
606,Nutrient Amendment,Other Soil Properties,Physical Properties,Clay Content,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
240,Continuous Cover,Other Soil Properties,Physical Properties,Compaction,Dependent on other factors,assumed societal harm,Other Soil Properties,Soil Structure,Positive,assumed societal harm
241,Tillage,Other Soil Properties,Physical Properties,Compaction,Dependent on other factors,assumed societal harm,Other Soil Properties,Soil Structure,Positive,assumed societal harm
607,Nutrient Amendment,Other Soil Properties,Physical Properties,Compaction,Dependent on other factors,assumed societal harm,Other Soil Properties,Soil Structure,Positive,assumed societal harm
242,Continuous Cover,Other Soil Properties,Physical Properties,Erosion,Dependent on other factors,assumed societal harm,NA,NA,NA,NA
243,Tillage,Other Soil Properties,Physical Properties,Erosion,Dependent on other factors,assumed societal harm,NA,NA,NA,NA
608,Nutrient Amendment,Other Soil Properties,Physical Properties,Erosion,Dependent on other factors,assumed societal harm,NA,NA,NA,NA
244,Continuous Cover,Other Soil Properties,Physical Properties,Sand Content,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
245,Tillage,Other Soil Properties,Physical Properties,Sand Content,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
609,Nutrient Amendment,Other Soil Properties,Physical Properties,Sand Content,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
246,Continuous Cover,Other Soil Properties,Physical Properties,Silt Content,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
247,Tillage,Other Soil Properties,Physical Properties,Silt Content,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
610,Nutrient Amendment,Other Soil Properties,Physical Properties,Silt Content,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
248,Continuous Cover,Other Soil Properties,Physical Properties,Soil Bulk Density,Dependent on other factors,assumed societal harm,NA,NA,NA,NA
428,Nutrient Amendment,Other Soil Properties,Physical Properties,Soil Bulk Density,Dependent on other factors,assumed societal harm,NA,NA,NA,NA
249,Continuous Cover,Other Soil Properties,Physical Properties,Surface Residue Coverage,Dependent on other factors,assumed societal benefit,NA,NA,NA,NA
250,Tillage,Other Soil Properties,Physical Properties,Surface Residue Coverage,Dependent on other factors,assumed societal benefit,NA,NA,NA,NA
611,Nutrient Amendment,Other Soil Properties,Physical Properties,Surface Residue Coverage,Dependent on other factors,assumed societal benefit,NA,NA,NA,NA
251,Continuous Cover,Other Soil Properties,Physical Properties,Water Infiltration,Dependent on other factors,assumed societal benefit,NA,NA,NA,NA
252,Tillage,Other Soil Properties,Physical Properties,Water Infiltration,Dependent on other factors,assumed societal benefit,NA,NA,NA,NA
612,Nutrient Amendment,Other Soil Properties,Physical Properties,Water Infiltration,Dependent on other factors,assumed societal benefit,NA,NA,NA,NA
253,Continuous Cover,Other Soil Properties,Soil Structure,Aggregate Size,Positive,assumed societal benefit,NA,NA,NA,NA
254,Tillage,Other Soil Properties,Soil Structure,Aggregate Size,Positive,assumed societal benefit,NA,NA,NA,NA
461,Nutrient Amendment,Other Soil Properties,Soil Structure,Aggregate Size,Positive,assumed societal benefit,NA,NA,NA,NA
255,Continuous Cover,Other Soil Properties,Soil Structure,Aggregate Stability,Positive,assumed societal benefit,NA,NA,NA,NA
256,Tillage,Other Soil Properties,Soil Structure,Aggregate Stability,Positive,assumed societal benefit,NA,NA,NA,NA
462,Nutrient Amendment,Other Soil Properties,Soil Structure,Aggregate Stability,Positive,assumed societal benefit,NA,NA,NA,NA
257,Continuous Cover,Other Soil Properties,Soil Structure,Air-Filled Pore Space,Positive,assumed societal benefit,NA,NA,NA,NA
258,Tillage,Other Soil Properties,Soil Structure,Air-Filled Pore Space,Positive,assumed societal benefit,NA,NA,NA,NA
613,Nutrient Amendment,Other Soil Properties,Soil Structure,Air-Filled Pore Space,Positive,assumed societal benefit,NA,NA,NA,NA
259,Continuous Cover,Other Soil Properties,Soil Structure,Total Pore Space,Positive,assumed societal benefit,NA,NA,NA,NA
260,Tillage,Other Soil Properties,Soil Structure,Total Pore Space,Positive,assumed societal benefit,NA,NA,NA,NA
614,Nutrient Amendment,Other Soil Properties,Soil Structure,Total Pore Space,Positive,assumed societal benefit,NA,NA,NA,NA
261,Continuous Cover,Other Soil Properties,Soil Structure,Water-Filled Pore Space,Positive,dependent on other factors,NA,NA,NA,NA
262,Tillage,Other Soil Properties,Soil Structure,Water-Filled Pore Space,Positive,dependent on other factors,NA,NA,NA,NA
615,Nutrient Amendment,Other Soil Properties,Soil Structure,Water-Filled Pore Space,Positive,dependent on other factors,NA,NA,NA,NA
263,Continuous Cover,Pests,Crop Damage,Damage Caused By Corn Rootworm,Negative,assumed societal harm,Crop Yields,Crop Damage,Negative,assumed societal harm
616,Nutrient Amendment,Pests,Crop Damage,Damage Caused By Corn Rootworm,Negative,assumed societal harm,Crop Yields,Crop Damage,Negative,assumed societal harm
264,Continuous Cover,Pests,Crop Damage,Damage Caused By Seed Corn Maggot,Negative,assumed societal harm,Crop Yields,Crop Damage,Negative,assumed societal harm
617,Nutrient Amendment,Pests,Crop Damage,Damage Caused By Seed Corn Maggot,Negative,assumed societal harm,Crop Yields,Crop Damage,Negative,assumed societal harm
265,Continuous Cover,Pests,Crop Damage,Damage From Fall Armyworm,Negative,assumed societal harm,Crop Yields,Crop Damage,Negative,assumed societal harm
618,Nutrient Amendment,Pests,Crop Damage,Damage From Fall Armyworm,Negative,assumed societal harm,Crop Yields,Crop Damage,Negative,assumed societal harm
266,Continuous Cover,Pests,Crop Damage,Damage From Leaf Spot,Negative,assumed societal harm,Crop Yields,Crop Damage,Negative,assumed societal harm
