"","...1","review","paper_id","duration","rv_year","loc_multi_results","group_level1","group_level2","group_level3","rv","rv_timeseries","rv_depth","sample_depth","rv_units","stat_test","stat_type","trt1","trt1_int","trt1_int2","trt1_value","trt2","trt2_int","trt2_int2","trt2_value","significance","finelevel_group","trt1_name","trt1_details","trt2_name","trt2_details","tillage_1","tillage_2","trt_compare","crop_type","norm_interp2","norm_interp3","group_level1_alt","group_level2_alt","norm_interp2_alt","norm_interp3_alt","per_change","grouping","normative_effect"
"1",1,"Tillage",6000,"2017-2","1",1,"Crop Yields","Yields","Maize","maize grain yield, long season, no manure, high fertility site","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",3.93,1,"NA","NA",5.89,"0.05","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Conventional Tillage - No Tillage","Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",49.87,"Crop Yields | Yields | Maize","Positive | assumed societal benefit"
"175",175,"Tillage",6002,"2013-4","3",1,"Crop Yields","Yields","Maize","Maize yield of maize genotypeCKH10085, intercrop, long rains","No","NA","NA","t/ha","Bartlett's test","mean",0,"3","NA",7.3,1,"3","NA",3.1,"NA","Conv_NT","Conventional Tillage","soil fully inverted, weeds managed with hand hoeing","No Tillage","No-till, glyphosate for weed control prior to planting, scratching weeds at surface",5.5,16,"Conventional Tillage - No Tillage","Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",-57.53,"Crop Yields | Yields | Maize","Positive | assumed societal benefit"
"176",176,"Tillage",6002,"2013-4","3",1,"Crop Yields","Yields","Maize","Maize yield of maize genotypeCKH10717, intercrop, long rains","No","NA","NA","t/ha","Bartlett's test","mean",0,"3","NA",6.8,1,"3","NA",3.5,"NA","Conv_NT","Conventional Tillage","soil fully inverted, weeds managed with hand hoeing","No Tillage","No-till, glyphosate for weed control prior to planting, scratching weeds at surface",5.5,16,"Conventional Tillage - No Tillage","Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",-48.53,"Crop Yields | Yields | Maize","Positive | assumed societal benefit"
"177",177,"Tillage",6002,"2013-4","3",1,"Crop Yields","Yields","Maize","Maize yield of maize genotypeH513, intercrop, long rains","No","NA","NA","t/ha","Bartlett's test","mean",0,"3","NA",5.9,1,"3","NA",5.7,"NA","Conv_NT","Conventional Tillage","soil fully inverted, weeds managed with hand hoeing","No Tillage","No-till, glyphosate for weed control prior to planting, scratching weeds at surface",5.5,16,"Conventional Tillage - No Tillage","Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",-3.39,"Crop Yields | Yields | Maize","Positive | assumed societal benefit"
"178",178,"Tillage",6002,"2013-4","3",1,"Crop Yields","Yields","Maize","Maize yield of maize genotypeCKH08051, intercrop, short rains","No","NA","NA","t/ha","Bartlett's test","mean",0,"3","NA",5.9,1,"3","NA",3.8,"NA","Conv_NT","Conventional Tillage","soil fully inverted, weeds managed with hand hoeing","No Tillage","No-till, glyphosate for weed control prior to planting, scratching weeds at surface",5.5,16,"Conventional Tillage - No Tillage","Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",-35.59,"Crop Yields | Yields | Maize","Positive | assumed societal benefit"
"179",179,"Tillage",6002,"2013-4","3",1,"Crop Yields","Yields","Maize","Maize yield of maize genotypeCKH10077, intercrop, short rains","No","NA","NA","t/ha","Bartlett's test","mean",0,"3","NA",4.8,1,"3","NA",3.7,"NA","Conv_NT","Conventional Tillage","soil fully inverted, weeds managed with hand hoeing","No Tillage","No-till, glyphosate for weed control prior to planting, scratching weeds at surface",5.5,16,"Conventional Tillage - No Tillage","Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",-22.92,"Crop Yields | Yields | Maize","Positive | assumed societal benefit"
"180",180,"Tillage",6002,"2013-4","3",1,"Crop Yields","Yields","Maize","Maize yield of maize genotypeCKH10080, intercrop, short rains","No","NA","NA","t/ha","Bartlett's test","mean",0,"3","NA",4.5,1,"3","NA",4.2,"NA","Conv_NT","Conventional Tillage","soil fully inverted, weeds managed with hand hoeing","No Tillage","No-till, glyphosate for weed control prior to planting, scratching weeds at surface",5.5,16,"Conventional Tillage - No Tillage","Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",-6.67,"Crop Yields | Yields | Maize","Positive | assumed societal benefit"
"181",181,"Tillage",6002,"2013-4","3",1,"Crop Yields","Yields","Maize","Maize yield of maize genotypeCKH10085, intercrop, short rains","No","NA","NA","t/ha","Bartlett's test","mean",0,"3","NA",5.7,1,"3","NA",5.1,"NA","Conv_NT","Conventional Tillage","soil fully inverted, weeds managed with hand hoeing","No Tillage","No-till, glyphosate for weed control prior to planting, scratching weeds at surface",5.5,16,"Conventional Tillage - No Tillage","Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",-10.53,"Crop Yields | Yields | Maize","Positive | assumed societal benefit"
"182",182,"Tillage",6002,"2013-4","3",1,"Crop Yields","Yields","Maize","Maize yield of maize genotypeCKH10717, intercrop, short rains","No","NA","NA","t/ha","Bartlett's test","mean",0,"3","NA",5.3,1,"3","NA",5.5,"NA","Conv_NT","Conventional Tillage","soil fully inverted, weeds managed with hand hoeing","No Tillage","No-till, glyphosate for weed control prior to planting, scratching weeds at surface",5.5,16,"Conventional Tillage - No Tillage","Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",3.77,"Crop Yields | Yields | Maize","Positive | assumed societal benefit"
"183",183,"Tillage",6002,"2013-4","3",1,"Crop Yields","Yields","Maize","Maize yield of maize genotypeH513, intercrop, short rains","No","NA","NA","t/ha","Bartlett's test","mean",0,"3","NA",5.1,1,"3","NA",5.3,"NA","Conv_NT","Conventional Tillage","soil fully inverted, weeds managed with hand hoeing","No Tillage","No-till, glyphosate for weed control prior to planting, scratching weeds at surface",5.5,16,"Conventional Tillage - No Tillage","Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",3.92,"Crop Yields | Yields | Maize","Positive | assumed societal benefit"
"184",184,"Tillage",6002,"2013-4","4",1,"Crop Yields","Yields","Maize","Maize yield of maize genotypeCKH08051, intercrop, long rains","No","NA","NA","t/ha","Bartlett's test","mean",0,"3","NA",6.3,1,"3","NA",5.9,"NA","Conv_NT","Conventional Tillage","soil fully inverted, weeds managed with hand hoeing","No Tillage","No-till, glyphosate for weed control prior to planting, scratching weeds at surface",5.5,16,"Conventional Tillage - No Tillage","Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",-6.35,"Crop Yields | Yields | Maize","Positive | assumed societal benefit"
"185",185,"Tillage",6002,"2013-4","4",1,"Crop Yields","Yields","Maize","Maize yield of maize genotypeCKH10077, intercrop, long rains","No","NA","NA","t/ha","Bartlett's test","mean",0,"3","NA",6.5,1,"3","NA",6.1,"NA","Conv_NT","Conventional Tillage","soil fully inverted, weeds managed with hand hoeing","No Tillage","No-till, glyphosate for weed control prior to planting, scratching weeds at surface",5.5,16,"Conventional Tillage - No Tillage","Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",-6.15,"Crop Yields | Yields | Maize","Positive | assumed societal benefit"
"186",186,"Tillage",6002,"2013-4","4",1,"Crop Yields","Yields","Maize","Maize yield of maize genotypeCKH10080, intercrop, long rains","No","NA","NA","t/ha","Bartlett's test","mean",0,"3","NA",7.3,1,"3","NA",5.5,"NA","Conv_NT","Conventional Tillage","soil fully inverted, weeds managed with hand hoeing","No Tillage","No-till, glyphosate for weed control prior to planting, scratching weeds at surface",5.5,16,"Conventional Tillage - No Tillage","Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",-24.66,"Crop Yields | Yields | Maize","Positive | assumed societal benefit"
"187",187,"Tillage",6002,"2013-4","4",1,"Crop Yields","Yields","Maize","Maize yield of maize genotypeCKH10085, intercrop, long rains","No","NA","NA","t/ha","Bartlett's test","mean",0,"3","NA",6.9,1,"3","NA",6.1,"NA","Conv_NT","Conventional Tillage","soil fully inverted, weeds managed with hand hoeing","No Tillage","No-till, glyphosate for weed control prior to planting, scratching weeds at surface",5.5,16,"Conventional Tillage - No Tillage","Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",-11.59,"Crop Yields | Yields | Maize","Positive | assumed societal benefit"
"188",188,"Tillage",6002,"2013-4","4",1,"Crop Yields","Yields","Maize","Maize yield of maize genotypeCKH10717, intercrop, long rains","No","NA","NA","t/ha","Bartlett's test","mean",0,"3","NA",7.3,1,"3","NA",5.5,"NA","Conv_NT","Conventional Tillage","soil fully inverted, weeds managed with hand hoeing","No Tillage","No-till, glyphosate for weed control prior to planting, scratching weeds at surface",5.5,16,"Conventional Tillage - No Tillage","Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",-24.66,"Crop Yields | Yields | Maize","Positive | assumed societal benefit"
"189",189,"Tillage",6002,"2013-4","4",1,"Crop Yields","Yields","Maize","Maize yield of maize genotypeH513, intercrop, long rains","No","NA","NA","t/ha","Bartlett's test","mean",0,"3","NA",6.4,1,"3","NA",6.1,"NA","Conv_NT","Conventional Tillage","soil fully inverted, weeds managed with hand hoeing","No Tillage","No-till, glyphosate for weed control prior to planting, scratching weeds at surface",5.5,16,"Conventional Tillage - No Tillage","Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",-4.69,"Crop Yields | Yields | Maize","Positive | assumed societal benefit"
"190",190,"Tillage",6003,"2016-2","1",1,"Other Soil Properties","Physical Properties","Soil Bulk Density","soil bulk density, short rains","No","0-5 cm","0-30 cm","g/cm^3^","Tukey","mean",0,"NA","NA",0.93,1,"NA","NA",0.96,"ns","HH15cm_Min","Conventional Tillage","hand hoed to 15 cm depth","Conservation Tillage","minimum tillage, soil disturabance in row only",5.5,6.5,"Conventional Tillage - Conservation Tillage","Cereal","Dependent on other factors","assumed societal harm","Other Soil Properties","Soil Structure","Positive","assumed societal harm",3.23,"Other Soil Properties | Physical Properties | Soil Bulk Density ; Other Soil Properties | Soil Structure | Soil Bulk Density","Dependent on other factors | assumed societal harm ; Positive | assumed societal harm"
"191",191,"Tillage",6003,"2016-2","2",1,"Other Soil Properties","Physical Properties","Soil Bulk Density","soil bulk density, long rains","No","0-5 cm","0-30 cm","g/cm^3^","Tukey","mean",0,"NA","NA",0.93,1,"NA","NA",0.95,"ns","HH15cm_Min","Conventional Tillage","hand hoed to 15 cm depth","Conservation Tillage","minimum tillage, soil disturabance in row only",5.5,6.5,"Conventional Tillage - Conservation Tillage","Cereal","Dependent on other factors","assumed societal harm","Other Soil Properties","Soil Structure","Positive","assumed societal harm",2.15,"Other Soil Properties | Physical Properties | Soil Bulk Density ; Other Soil Properties | Soil Structure | Soil Bulk Density","Dependent on other factors | assumed societal harm ; Positive | assumed societal harm"
"192",192,"Tillage",6003,"2016-2","1",1,"Other Soil Properties","Soil Structure","Aggregate Size","aggregate mean weight diameter, short rains","No","0-5 cm","0-30 cm","mm","Tukey","mean",0,"NA","NA",1.07,1,"NA","NA",1.04,"ns","HH15cm_Min","Conventional Tillage","hand hoed to 15 cm depth","Conservation Tillage","minimum tillage, soil disturabance in row only",5.5,6.5,"Conventional Tillage - Conservation Tillage","Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",-2.8,"Other Soil Properties | Soil Structure | Aggregate Size","Positive | assumed societal benefit"
"193",193,"Tillage",6003,"2016-2","2",1,"Other Soil Properties","Soil Structure","Aggregate Size","aggregate mean weight diameter, long rains","No","0-5 cm","0-30 cm","mm","Tukey","mean",0,"NA","NA",0.61,1,"NA","NA",0.56,"ns","HH15cm_Min","Conventional Tillage","hand hoed to 15 cm depth","Conservation Tillage","minimum tillage, soil disturabance in row only",5.5,6.5,"Conventional Tillage - Conservation Tillage","Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",-8.2,"Other Soil Properties | Soil Structure | Aggregate Size","Positive | assumed societal benefit"
"194",194,"Tillage",6003,"2016-2","1",1,"Water Quality","Flow Quantity","Water Discharge","hydraulic conductivity (Ksat), short rains","No","0-20 cm","0-30 cm","cm","Tukey","mean",0,"NA","NA",16.57,1,"NA","NA",17.06,"ns","HH15cm_Min","Conventional Tillage","hand hoed to 15 cm depth","Conservation Tillage","minimum tillage, soil disturabance in row only",5.5,6.5,"Conventional Tillage - Conservation Tillage","Cereal","Negative","assumed societal harm",NA,"NA","NA","NA",2.96,"Water Quality | Flow Quantity | Water Discharge","Negative | assumed societal harm"
"195",195,"Tillage",6003,"2016-2","2",1,"Water Quality","Flow Quantity","Water Discharge","hydraulic conductivity (Ksat), long rains","No","0-20 cm","0-30 cm","cm","Tukey","mean",0,"NA","NA",13.83,1,"NA","NA",16.56,"ns","HH15cm_Min","Conventional Tillage","hand hoed to 15 cm depth","Conservation Tillage","minimum tillage, soil disturabance in row only",5.5,6.5,"Conventional Tillage - Conservation Tillage","Cereal","Negative","assumed societal harm",NA,"NA","NA","NA",19.74,"Water Quality | Flow Quantity | Water Discharge","Negative | assumed societal harm"
"196",196,"Tillage",6003,"2016-2","2",1,"Other Soil Properties","Chemical Properties","pH","soil pH","No","0-20 cm","0-30 cm","pH","Tukey","mean",0,"NA","NA",4.96,1,"NA","NA",4.98,"ns","HH15cm_Min","Conventional Tillage","hand hoed to 15 cm depth","Conservation Tillage","minimum tillage, soil disturabance in row only",5.5,6.5,"Conventional Tillage - Conservation Tillage","Cereal","Dependent on other factors","dependent on other factors",NA,"NA","NA","NA",0.4,"Other Soil Properties | Chemical Properties | pH","Dependent on other factors | dependent on other factors"
"197",197,"Tillage",6003,"2016-2","2",1,"Soil Nutrients","Nitrogen","Total Nitrogen","total nitrogen","No","0-20 cm","0-30 cm","%","Tukey","mean",0,"NA","NA",0.17,1,"NA","NA",0.17,"ns","HH15cm_Min","Conventional Tillage","hand hoed to 15 cm depth","Conservation Tillage","minimum tillage, soil disturabance in row only",5.5,6.5,"Conventional Tillage - Conservation Tillage","Cereal","Dependent on other factors","dependent on other factors",NA,"NA","NA","NA",0,"Soil Nutrients | Nitrogen | Total Nitrogen","Dependent on other factors | dependent on other factors"
"198",198,"Tillage",6003,"2016-2","2",1,"Soil Nutrients","Phosphorus & Potassium","Phosphorus","soil phosphorus","No","0-20 cm","0-30 cm","exchangeable cmol+/kg","Tukey","mean",0,"NA","NA",28.33,1,"NA","NA",30.37,"ns","HH15cm_Min","Conventional Tillage","hand hoed to 15 cm depth","Conservation Tillage","minimum tillage, soil disturabance in row only",5.5,6.5,"Conventional Tillage - Conservation Tillage","Cereal","Dependent on other factors","dependent on other factors",NA,"NA","NA","NA",7.2,"Soil Nutrients | Phosphorus & Potassium | Phosphorus","Dependent on other factors | dependent on other factors"
"199",199,"Tillage",6003,"2016-2","2",1,"Soil Nutrients","Phosphorus & Potassium","Potassium","soil potassium","No","0-20 cm","0-30 cm","exchangeable cmol+/kg","Tukey","mean",0,"NA","NA",0.39,1,"NA","NA",0.46,"ns","HH15cm_Min","Conventional Tillage","hand hoed to 15 cm depth","Conservation Tillage","minimum tillage, soil disturabance in row only",5.5,6.5,"Conventional Tillage - Conservation Tillage","Cereal","Dependent on other factors","dependent on other factors",NA,"NA","NA","NA",17.95,"Soil Nutrients | Phosphorus & Potassium | Potassium","Dependent on other factors | dependent on other factors"
"200",200,"Tillage",6003,"2016-2","2",1,"Soil Nutrients","Micronutrients","Calcium","soil calcium","No","0-20 cm","0-30 cm","exchangeable cmol+/kg","Tukey","mean",0,"NA","NA",4.98,1,"NA","NA",4.89,"ns","HH15cm_Min","Conventional Tillage","hand hoed to 15 cm depth","Conservation Tillage","minimum tillage, soil disturabance in row only",5.5,6.5,"Conventional Tillage - Conservation Tillage","Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",-1.81,"Soil Nutrients | Micronutrients | Calcium","Positive | assumed societal benefit"
"201",201,"Tillage",6003,"2016-2","2",1,"Soil Nutrients","Micronutrients","Magnesium","soil magnesium","No","0-20 cm","0-30 cm","exchangeable cmol+/kg","Tukey","mean",0,"NA","NA",0.15,1,"NA","NA",0.16,"ns","HH15cm_Min","Conventional Tillage","hand hoed to 15 cm depth","Conservation Tillage","minimum tillage, soil disturabance in row only",5.5,6.5,"Conventional Tillage - Conservation Tillage","Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",6.67,"Soil Nutrients | Micronutrients | Magnesium","Positive | assumed societal benefit"
"202",202,"Tillage",6003,"2016-2","1",1,"Climate Mitigation","Carbon Storage","Soil Organic Carbon","change in soil organic carbon, 0-5 cm depth","Yes","0-5 cm","0-30 cm","%","Tukey","mean",0,"NA","NA",0.518,1,"NA","NA",0.363,"ns","HH15cm_Min","Conventional Tillage","hand hoed to 15 cm depth","Conservation Tillage","minimum tillage, soil disturabance in row only",5.5,6.5,"Conventional Tillage - Conservation Tillage","Cereal","Positive","assumed societal benefit","Other Soil Properties","Chemical Properties","Dependent on other factors","assumed societal benefit",-0.16,"Climate Mitigation | Carbon Storage | Soil Organic Carbon ; Other Soil Properties | Chemical Properties | Soil Organic Carbon","Positive | assumed societal benefit ; Dependent on other factors | assumed societal benefit"
"203",203,"Tillage",6003,"2016-2","1",1,"Climate Mitigation","Carbon Storage","Soil Organic Carbon","change in soil organic carbon, 5-10 cm depth","Yes","5-10 cm","0-30 cm","%","Tukey","mean",0,"NA","NA",0.46,1,"NA","NA",0.321,"ns","HH15cm_Min","Conventional Tillage","hand hoed to 15 cm depth","Conservation Tillage","minimum tillage, soil disturabance in row only",5.5,6.5,"Conventional Tillage - Conservation Tillage","Cereal","Positive","assumed societal benefit","Other Soil Properties","Chemical Properties","Dependent on other factors","assumed societal benefit",-0.14,"Climate Mitigation | Carbon Storage | Soil Organic Carbon ; Other Soil Properties | Chemical Properties | Soil Organic Carbon","Positive | assumed societal benefit ; Dependent on other factors | assumed societal benefit"
"204",204,"Tillage",6003,"2016-2","1",1,"Climate Mitigation","Carbon Storage","Soil Organic Carbon","change in soil organic carbon, 10-20 cm depth","Yes","10-20 cm","0-30 cm","%","Tukey","mean",0,"NA","NA",0.446,1,"NA","NA",0.312,"ns","HH15cm_Min","Conventional Tillage","hand hoed to 15 cm depth","Conservation Tillage","minimum tillage, soil disturabance in row only",5.5,6.5,"Conventional Tillage - Conservation Tillage","Cereal","Positive","assumed societal benefit","Other Soil Properties","Chemical Properties","Dependent on other factors","assumed societal benefit",-0.13,"Climate Mitigation | Carbon Storage | Soil Organic Carbon ; Other Soil Properties | Chemical Properties | Soil Organic Carbon","Positive | assumed societal benefit ; Dependent on other factors | assumed societal benefit"
"205",205,"Tillage",6003,"2016-2","1",1,"Climate Mitigation","Carbon Storage","Soil Organic Carbon","change in soil organic carbon, 20-40 cm depth","Yes","20-40 cm","0-30 cm","%","Tukey","mean",0,"NA","NA",0.452,1,"NA","NA",0.305,"ns","HH15cm_Min","Conventional Tillage","hand hoed to 15 cm depth","Conservation Tillage","minimum tillage, soil disturabance in row only",5.5,6.5,"Conventional Tillage - Conservation Tillage","Cereal","Positive","assumed societal benefit","Other Soil Properties","Chemical Properties","Dependent on other factors","assumed societal benefit",-0.15,"Climate Mitigation | Carbon Storage | Soil Organic Carbon ; Other Soil Properties | Chemical Properties | Soil Organic Carbon","Positive | assumed societal benefit ; Dependent on other factors | assumed societal benefit"
"206",206,"Tillage",6003,"2016-2","2",1,"Climate Mitigation","Carbon Storage","Soil Organic Carbon","change in soil organic carbon, 0-5 cm depth","No","0-5 cm","0-30 cm","%","Tukey","mean",0,"NA","NA",1.65,1,"NA","NA",1.66,"ns","HH15cm_Min","Conventional Tillage","hand hoed to 15 cm depth","Conservation Tillage","minimum tillage, soil disturabance in row only",5.5,6.5,"Conventional Tillage - Conservation Tillage","Cereal","Positive","assumed societal benefit","Other Soil Properties","Chemical Properties","Dependent on other factors","assumed societal benefit",0.01,"Climate Mitigation | Carbon Storage | Soil Organic Carbon ; Other Soil Properties | Chemical Properties | Soil Organic Carbon","Positive | assumed societal benefit ; Dependent on other factors | assumed societal benefit"
"207",207,"Tillage",6003,"2016-2","2",1,"Climate Mitigation","Carbon Storage","Soil Organic Carbon","change in soil organic carbon, 5-10 cm depth","No","5-10 cm","0-30 cm","%","Tukey","mean",0,"NA","NA",1.6,1,"NA","NA",1.6,"ns","HH15cm_Min","Conventional Tillage","hand hoed to 15 cm depth","Conservation Tillage","minimum tillage, soil disturabance in row only",5.5,6.5,"Conventional Tillage - Conservation Tillage","Cereal","Positive","assumed societal benefit","Other Soil Properties","Chemical Properties","Dependent on other factors","assumed societal benefit",0,"Climate Mitigation | Carbon Storage | Soil Organic Carbon ; Other Soil Properties | Chemical Properties | Soil Organic Carbon","Positive | assumed societal benefit ; Dependent on other factors | assumed societal benefit"
"208",208,"Tillage",6003,"2016-2","2",1,"Climate Mitigation","Carbon Storage","Soil Organic Carbon","change in soil organic carbon, 10-20 cm depth","No","10-20 cm","0-30 cm","%","Tukey","mean",0,"NA","NA",1.54,1,"NA","NA",1.57,"ns","HH15cm_Min","Conventional Tillage","hand hoed to 15 cm depth","Conservation Tillage","minimum tillage, soil disturabance in row only",5.5,6.5,"Conventional Tillage - Conservation Tillage","Cereal","Positive","assumed societal benefit","Other Soil Properties","Chemical Properties","Dependent on other factors","assumed societal benefit",0.03,"Climate Mitigation | Carbon Storage | Soil Organic Carbon ; Other Soil Properties | Chemical Properties | Soil Organic Carbon","Positive | assumed societal benefit ; Dependent on other factors | assumed societal benefit"
"209",209,"Tillage",6003,"2016-2","2",1,"Climate Mitigation","Carbon Storage","Soil Organic Carbon","change in soil organic carbon, 20-40 cm depth","No","20-40 cm","0-30 cm","%","Tukey","mean",0,"NA","NA",1.47,1,"NA","NA",1.5,"ns","HH15cm_Min","Conventional Tillage","hand hoed to 15 cm depth","Conservation Tillage","minimum tillage, soil disturabance in row only",5.5,6.5,"Conventional Tillage - Conservation Tillage","Cereal","Positive","assumed societal benefit","Other Soil Properties","Chemical Properties","Dependent on other factors","assumed societal benefit",0.03,"Climate Mitigation | Carbon Storage | Soil Organic Carbon ; Other Soil Properties | Chemical Properties | Soil Organic Carbon","Positive | assumed societal benefit ; Dependent on other factors | assumed societal benefit"
"210",210,"Tillage",6003,"2016-2","1",1,"Soil Nutrients","Nitrogen","Nitrate","soil nitrate, 0 days after planting, unfertilized, short rains","No","0-20 cm","0-30 cm","ppm/100 g","Tukey","mean",0,"2","NA",9.5,1,"2","NA",27.32,"ns","HH15cm_Min","Conventional Tillage","hand hoed to 15 cm depth, unfertilized","Conservation Tillage","minimum tillage, soil disturabance in row only, unfertilized",5.5,6.5,"Conventional Tillage - Conservation Tillage","Cereal","Dependent on other factors","dependent on other factors",NA,"NA","NA","NA",187.58,"Soil Nutrients | Nitrogen | Nitrate","Dependent on other factors | dependent on other factors"
"211",211,"Tillage",6003,"2016-2","1",1,"Soil Nutrients","Nitrogen","Nitrate","soil nitrate, 0 days after planting, nitrogen mineral fertilizer, short rains","No","0-20 cm","0-30 cm","ppm/100 g","Tukey","mean",0,"3","NA",16.65,1,"3","NA",24.4,"ns","HH15cm_Min","Conventional Tillage","hand hoed to 15 cm depth, nitrogen mineral fertilizer","Conservation Tillage","minimum tillage, soil disturabance in row only, nitrogen mineral fertilizer",5.5,6.5,"Conventional Tillage - Conservation Tillage","Cereal","Dependent on other factors","dependent on other factors",NA,"NA","NA","NA",46.55,"Soil Nutrients | Nitrogen | Nitrate","Dependent on other factors | dependent on other factors"
"212",212,"Tillage",6003,"2016-2","1",1,"Soil Nutrients","Nitrogen","Nitrate","soil nitrate, 0 days after planting, nitrogen mineral fertilizer & green manure, short rains","No","0-20 cm","0-30 cm","ppm/100 g","Tukey","mean",0,"4","NA",8.46,1,"4","NA",13.58,"ns","HH15cm_Min","Conventional Tillage","hand hoed to 15 cm depth, nitrogen mineral fertilizer & crop residue","Conservation Tillage","minimum tillage, soil disturabance in row only, nitrogen mineral fertilizer & crop residue",5.5,6.5,"Conventional Tillage - Conservation Tillage","Cereal","Dependent on other factors","dependent on other factors",NA,"NA","NA","NA",60.52,"Soil Nutrients | Nitrogen | Nitrate","Dependent on other factors | dependent on other factors"
"213",213,"Tillage",6003,"2016-2","1",1,"Soil Nutrients","Nitrogen","Nitrate","soil nitrate, 0 days after planting, nitrogen mineral fertilizer, animal manure, & green manure, short rains","No","0-20 cm","0-30 cm","ppm/100 g","Tukey","mean",0,"5","NA",19.63,1,"5","NA",17.84,"ns","HH15cm_Min","Conventional Tillage","hand hoed to 15 cm depth, nitrogen mineral fertilizer, animal manure, & green manure","Conservation Tillage","minimum tillage, soil disturabance in row only, nitrogen mineral fertilizer, animal manure, & green manure",5.5,6.5,"Conventional Tillage - Conservation Tillage","Cereal","Dependent on other factors","dependent on other factors",NA,"NA","NA","NA",-9.12,"Soil Nutrients | Nitrogen | Nitrate","Dependent on other factors | dependent on other factors"
"214",214,"Tillage",6003,"2016-2","1",1,"Soil Nutrients","Nitrogen","Nitrate","soil nitrate, 0 days after planting, animal manure, legume intercrop, & green manure, short rains","No","0-20 cm","0-30 cm","ppm/100 g","Tukey","mean",0,"6","NA",14.34,1,"6","NA",29.63,"ns","HH15cm_Min","Conventional Tillage","hand hoed to 15 cm depth, animal manure, legume intercrop, & green manure","Conservation Tillage","minimum tillage, soil disturabance in row only, animal manure, legume intercrop, & green manure",5.5,6.5,"Conventional Tillage - Conservation Tillage","Cereal","Dependent on other factors","dependent on other factors",NA,"NA","NA","NA",106.62,"Soil Nutrients | Nitrogen | Nitrate","Dependent on other factors | dependent on other factors"
"215",215,"Tillage",6003,"2016-2","1",1,"Soil Nutrients","Nitrogen","Nitrate","soil nitrate, 0 days after planting, animal manure, green manure, & green manure, short rains","No","0-20 cm","0-30 cm","ppm/100 g","Tukey","mean",0,"7","NA",10.36,1,"7","NA",15.97,"ns","HH15cm_Min","Conventional Tillage","hand hoed to 15 cm depth, animal manure, green manure, & green manure","Conservation Tillage","minimum tillage, soil disturabance in row only, animal manure, green manure, & green manure",5.5,6.5,"Conventional Tillage - Conservation Tillage","Cereal","Dependent on other factors","dependent on other factors",NA,"NA","NA","NA",54.15,"Soil Nutrients | Nitrogen | Nitrate","Dependent on other factors | dependent on other factors"
"216",216,"Tillage",6003,"2016-2","1",1,"Soil Nutrients","Nitrogen","Nitrate","soil nitrate, 0 days after planting, phosphorus mineral fertilizer, green manure, & green manure, short rains","No","0-20 cm","0-30 cm","ppm/100 g","Tukey","mean",0,"8","NA",5.97,1,"8","NA",19.51,"ns","HH15cm_Min","Conventional Tillage","hand hoed to 15 cm depth, phosphorus mineral fertilizer, green manure, & green manure","Conservation Tillage","minimum tillage, soil disturabance in row only,phosphorus mineral fertilizer, green manure, & green manure",5.5,6.5,"Conventional Tillage - Conservation Tillage","Cereal","Dependent on other factors","dependent on other factors",NA,"NA","NA","NA",226.8,"Soil Nutrients | Nitrogen | Nitrate","Dependent on other factors | dependent on other factors"
"217",217,"Tillage",6003,"2016-2","1",1,"Soil Nutrients","Nitrogen","Nitrate","soil nitrate, 30 days after planting, unfertilized, short rains","No","0-20 cm","0-30 cm","ppm/100 g","Tukey","mean",0,"2","NA",16.87,1,"2","NA",37.22,"0.05","HH15cm_Min","Conventional Tillage","hand hoed to 15 cm depth, unfertilized","Conservation Tillage","minimum tillage, soil disturabance in row only, unfertilized",5.5,6.5,"Conventional Tillage - Conservation Tillage","Cereal","Dependent on other factors","dependent on other factors",NA,"NA","NA","NA",120.63,"Soil Nutrients | Nitrogen | Nitrate","Dependent on other factors | dependent on other factors"
